content,score,app,topics
download langsung premium eh appsnya loading kerja,1,bumble,1
aplikasi macet kali uninstallinstall,2,bumble,9
bayar premium tidak di aplikasi tidak premium,2,bumble,9
halo bumble account ku ya tolong baik thank you,3,bumble,7
tidak bisa verifikasi login masuk halaman retake photo hubung contact support tidak ada response balikin uang rugi bandar,1,bumble,7
bayar premium tidak bisa pakai,1,bumble,9
lebih filter dasar agama lokasi positif fake account negatif cegah jahat kriminal akibat bumble mohon admin bumble delete fake account masuk bumble depan terima kasih,5,bumble,6
loading ya indak tampil apa kuota jaring bagus banget uninstal instal ulang tolong baik,3,bumble,1
bumble tolong tidak lanjut premium tiba saldo gopay tarik otomatis tuju,1,bumble,9
premium habis tanggal tanggal tidak tenggak bumble tidak terupdate langgan saldo potong henti langgan minggu bumble premium henti tanggal tidak terupdate minggu mohon cerah,1,bumble,9
aplikasi tidak jlas login susah pakai nomer telepon fb tidak bisa masuk kasih nomor akun fb,1,bumble,7
sih langgan eror konfirmasi bumble tidak bisa pakai premium coba tolong selesai tidak sampai kasih rating bintang,3,bumble,3
buka profil lot banget buka chat lot benar lot banget sih,1,bumble,9
aplikasi tolol gara gara gua cuekin cewek gua nemu cowok telfonan gua tidak pernah dikabarin endingnya udahan jalan terimakasih bumble,1,bumble,8
min tidak bisa masuk tolong bantu min instal uninstal instal uninstal tidak masuk sih kirim kode nya,2,bumble,7
bumble ya loadingnya banget uninstal download loadingnya banget langgan loh,1,bumble,7
bayar biar match cewek hadeeh payah aplikasi auto uninstall deh beda aplikasi swipe cewek match bayar,1,bumble,0
aplikasi bagus sayang orang like tidak sengaja swipe kiri langsung hilang permanen tolong dibenerin tidak dapat match gara swipe kiri hadehhhh,3,bumble,9
buka bumble lambat loading developer tolong tingkat aplikasi cepat buka aplikasi,2,bumble,9
apknya bagus guna yahg bagus tolong ya pengunanya filter banyak tidak jelas orang kesel kalo match orang cina ngajakin main trading slot ujung,4,bumble,6
langgan tanggal tanggal saldo ambil dasar aplikasi rampok,1,bumble,9
langgan premium buka apk log out masuk suruh daftar verifikasi akun tidak bisa masuk tidak bisa buka rugi bayar premium akun tidak bisa pulih payahhhhh masuk daftar premium hilang blokir tidak masuk akal,1,bumble,7
lot banget chatnya suka kirim ulang,1,bumble,9
lumayan bagustapi premium,3,bumble,6
aplikasi cepat lihat,1,bumble,9
aplikasi nya loadingnya,3,bumble,6
habis update jelek tidak bisa buka,1,bumble,7
aplikasi sampah verif wajah tidak guna,1,bumble,6
cerita habis subscribe bayar ribu lot appnya tidak subscribe lancar kayak dikerjain,2,bumble,5
match tidak muncul daftar match nya chat tidak ada masuk satu sih,2,bumble,7
fitur batas apl tidak guna guna gratis tidak harap nikmat aplikasi bayar premium,1,bumble,9
sebel banget masuk upload foto,3,bumble,7
buka bumble loading tidak bisa buka jarak suka aco filter,2,bumble,7
aplikasi enter code codenya tidak muncul muncul langgan premium,1,bumble,9
teks indonesia,5,bumble,6
tolong developer nya nih ya beli premium tidak bisa kepake suruh try again,2,bumble,9
aplikasi datting apps bagus moga temu pasang,5,bumble,5
appnya lag subscribe ngerugiin banget,2,bumble,5
bayar tidak bisa pakai,1,bumble,6
wifi mbps pakai hp loading screen kayak tau,1,bumble,6
aplikasi fake akun mohon kait ketat verifikasi foto aplikasi seru real orang teman fake akun berhatihati,1,bumble,6
halo buka bumble tidak adanampak profil foto orgnya buka profil orgnya tidak bisa,1,bumble,7
klik apk langsung,1,bumble,7
loadingnya knapa ya,1,bumble,4
parah sih loadingnya gila luamaaa banget loadinv foto muter gakjelass beda app lai,1,bumble,6
lot sinyal bagus,1,bumble,2
knapa masuk loading banget,1,bumble,2
aplikasi tolol verifikasi muka gagal,1,bumble,7
langgan tidak bisa pakai lihat ngelike kocak banget,1,bumble,9
ya tidak bisa login,1,bumble,7
tidak jls banget tidak ngpa in tiba akun blokir download kirim aneh,1,bumble,7
susah login callnya mati mulu,1,bumble,7
aplikasi bantu temu pasang hidup,4,bumble,5
masuk susah verifikasi gagal,1,bumble,7
suka error nih premium,4,bumble,9
tidak bisa loading,1,bumble,1
bagus apk nya cuman susah jodoh sabar tidak bisa chat duluan,5,bumble,0
curang banget loading biar uninstal download curang marketing,1,bumble,1
akun blokir akun verifikasisi gagal muka bumble balik akun blokir tolong tidak mudah verifikasi akun baru,2,bumble,7
ya tidak bisa login bumble tunggu call me kali kali tidak ada muncul kode verifikasi nya mohon bantu ya,4,bumble,7
gilir beli premium tidak ada likesedangkan kalo tidak premium likepinter marketingnya,1,bumble,3
notifnya tidak ada buka telfonnya gampang mati baik ya,2,bumble,1
aplikasi tidak jelas tantan bagus aplikasi bumble bobrok hapus playstore tidak guna,1,bumble,6
akun logout pas login umur kemarin main aman aman,1,bumble,7
apknya bagus ges kadang ngebug worth ketemu pacar,5,bumble,8
tidak bisa pakai premium nya tau dana top up premium tidak bisa siii,1,bumble,9
sih ubah bahasa indonesiakok tidak ada atur,5,bumble,8
langgan masuk umur tidak cukup umur tolong developer baik nipu,1,bumble,7
tidak bisa buka loading koneksi internet,1,bumble,7
sih appnya pakai tidak kenapa kelogout pas login tidak tahu umur gua,1,bumble,3
masuk aplikasi loading tidak ada internet internet buka aplikasi kencang,1,bumble,7
loading tidak bisa pakai app nya,1,bumble,6
sorry bintang akun kena blocked tidak jelas langgan,1,bumble,0
aplikasi tidak dapat buka uninstall tidak ada solusi,1,bumble,9
halo admin bumbble upgrade premium tidak ada chat masuk ya tolong baik sistem install initerima kasih tidak ada chat masuk kirim pesan tidak bisapadahal premium,1,bumble,0
apps dating bayar verifikasi profil suka lewat sambung chat suka gratis bumble pelit mahal mode gratis swipe suka fitur bayar,1,bumble,0
aplikasi khusus orang goodlooking minggu install tidak ada chat masuk,2,bumble,7
aplikasi buruk tahun ndk satu macth mahal biaya top upnya,1,bumble,1
tidak premium swipe nya batas sayang nya,3,bumble,9
nih login pakai nomor tidak bisa pakai fb salah ketik lahir tidak bisa masuk,1,bumble,7
tidak beli apa bumble guys premium beli kacau spotlight beli pisah kurang minggu pakai penuh kuota minimal pakai minggu rang sisa spotlight kurun minggu spotlight beli premium kalo bintang minus kasih deh,1,bumble,3
sih tidak bisa teeus verifikasi muka asli loh aneh banget aplikasi,1,bumble,7
update lelet su,1,bumble,4
langgan premium tidak dapat akses premium,1,bumble,9
ya jam pakai apk inikok pas asik log out login nomor tidak bisa pakai yapadahal tidak laku kesalahandan langgan premiummasa jam error ginipulihin akun lahrugi bangetpas login pakai nomor ponsel eh tulis suruh cek nomor ponsel,1,bumble,7
wifinya amanaman pas dating aps belah dating aps tidak mau jalan pakai wifi mau jalan pakai paket hotspot,1,bumble,9
deh kalo langgan tidak lanjut otomatis sih duit shopee kuras nih elah,1,bumble,9
terima kasih bumble temu nisa moga langgeng,5,bumble,5
aplikasi bayar tidak usah didownload tidak ada pesan masuk aplikasi sepi lihat suka profil berbayarberlangganan,1,bumble,7
bumble lot banget ya,1,bumble,5
aplikasi tidak jelas bayar mahal ngeleg parah tidak jelas aplikasi,1,bumble,6
sedih banget match cowok pas nama anggi unistal bumbel lost contact,5,bumble,1
keren match tidak fake,5,bumble,6
suka alam ketemu orang cantik pribadi kayak rara cewek bener special gua gua pengin terima kasih bumble pertemuin gua sih alam indah gua pakai app,3,bumble,3
aplikasi bagus fitur nya bagus paham guna akun log out usia tidak tahun usia cukup mohon baik akun tolong kembali,4,bumble,7
aplikasi respons,1,bumble,6
loading macet lihat komen mikir,1,bumble,9
hp lot,3,bumble,7
lot ya,3,bumble,5
bug,1,bumble,9
ajg baperan tbtb bumble gua bff gua normal cok,4,bumble,6
kocak apk rusak loading mulu tidak jelas baik gblog,1,bumble,3
tolong informasi langgan paket tidak aktif tidak ada respon bagi adu ya trmksh,3,bumble,6
daftar verifikasi gagal ya info sesuai gestur foto profil mirip coba bolak tidak bisa akun tidak bisa buka buka foto verifikasi mohon infony,3,bumble,7
aplikasi loading tidak mau tampil apa cakap tidak balas jam diangap tidak cocok gua update lambat cakap expired update maret aplikasi ringan,4,bumble,4
kritik bayar mana tidak ke input aplikasi bayar shopee pay pahment lainnyakasus pulsa mandiri sesal banget ngabisin ribu tahi nya play store menu anggar tulis dana dikembalikantolong kembali mana ya sesal parah,2,bumble,9
database kota diupdate provinsi kota oke kota profil lengkap,4,bumble,8
sok far aplikasi dating keren bagus pakai bumble verifikasi nya susah ketat sok bagus banget tidak ada bohong publik kemudi orang nya unik cewek chat duluan laki laki balas teman korea aplikasi thanks bumble tingkat fitur nya,5,bumble,0
ribet banget upload foto tidak pernah hasil beli fitur premium verifikasi upload foto tidak pernah hasil akun tidak bisa pakai pakai fitur premium ribetin parah akun tidak bisa kepake pindah aplikasi belah aplikasi tidak guna,1,bumble,9
bumble si marketing gilir tidak langgan match mulu foto blur lihat langgan langgan hasil zonkkkk satu tidak ada match swipe auto uninstall,1,bumble,9
bagus cepat habis like nya tolong baik tidak lebih orang tidak bisa swipe aneh,2,bumble,0
aplikasi buruk langgan aneh ruang gerak batas bayar aplikasi orang sistem manfaat duidnya orang untung beli aplikasi tidak jelas,1,bumble,6
aplikasi ya ulang log pasuk otp langsung beli premium tolong resin,1,bumble,7
bagus sih ya rada sebel beli paket kenpa tidak sesuai ekspektasi kalo match tidak ada chat susah match nya rada sesal sih beli paket nya bumble,4,bumble,9
free premium kasi bintang,5,bumble,0
rekomendasi bayar aplikasi coba beli pakai tidak bisa lihat ngelike foto bingung buka aplikasi tawar bayar,2,bumble,9
tidak seru upgrade premium tidak asik,2,bumble,9
kalo chat bayar download,2,bumble,9
handphone hilang tidak bisa masuk akun match tidak saya pakai moga handphone ganti,5,bumble,4
ku aplikasi bagus obrol orang pikir sok far tidak ada kirim gambar aneh recomended,5,bumble,0
aplikasi nya bayar semuamembuka chat mach tidak bisaini aplikasi nya banyak bayarrrrrrrrrrrrrrini balas gratis gratis buka cocok bayar lihat like bayar chat bayar bohong gratis,1,bumble,0
stuck loading screen,1,bumble,9
tolong min masak main bumble akun blokir bawah atas coba logout tidak bisa tolong ya min,1,bumble,7
verifikasi foto terus tidak baa kunci akun verifikasi proses verifikasi mudah deteksi mata tahan pakai makeup filter tidak match susah banget verifikasi tolong diperbaikin sistem,2,bumble,7
logout coba login notifikasi umur bawah,2,bumble,7
beli akun premium aplikasi reset umur tidak bisa masuk atas ngluarin uang aplikasi nya tidak jelas,1,bumble,7
panjang weekly ngelag muter ngechat tidak bisa,1,bumble,3
aplikasi bagus cari teman obrol,5,bumble,5
likes nya,1,bumble,6
tidak langgan fitur super swipe tibatiba saldo ovo potong langgan panjang otomatis sih,1,bumble,9
overall bagus fitur bersih nya tambah tidak dengan hapus riwayat deleted account,4,bumble,6
halo kaksaya tidak tau akun kena reportsaya coba akun facebook beli nomor hp login bumble akun nya kena report wajah tidak lihat tahuntolong ya pulihin akun terimakasih,2,bumble,7
masuk akun gimanabaru download disuru bikin akun,1,bumble,7
thanks gua cewek usaha menangin hati wish me luck guys,5,bumble,3
bumble plisssss gue aju kembali dana orang apps nya logout tari dana premium,1,bumble,7
ngelag sih,2,bumble,3
banyak isi bini orang ketemu bini orang,1,bumble,4
tidak download sesal habis bayar langsung lot,1,bumble,9
tidak bisa login no,1,bumble,7
blokir tidak kapai,1,bumble,7
bagus cari teman,4,bumble,5
ya akun blokir foto nya sah sah tidak kandung guilty,1,bumble,4
lucu orang temu aplikasi,2,bumble,0
nih apk bagus cuman kudu cewek doang sih cakap,4,bumble,4
tidak bisa login nomor hp nomor hp masuk tunggu kode verifikasi bumble telpon tidak ada telpon masuk bumble,2,bumble,7
lot banget gakaya banget sinyal bagus lelet loh aplikasi busuk banget,1,bumble,2
tidak pernah instal aplikasi email pemberitahuan langgana maksud coba,1,bumble,7
jarang komplain akun hilang login denga nomor tibatiba langsung suruh akun tolong admin balikin akun,2,bumble,7
bahaya nih aplikasi tidak langgan saldo gopay potong pemberitahuan saldo potong langgan bumbel,1,bumble,9
tolong buat mode gelap silau buka kondisi ruang gelap,5,bumble,0
langgan tidak premium app kah tipu,1,bumble,6
tin ba aplikasi niat kenalanbngtnya guna nrkudik bikin ribet kenal baik,3,bumble,9
lumayan bagus banding,4,bumble,6
tolong no tidsk verifikasi langgan,1,bumble,7
bagus kudu bayar heheheh,5,bumble,0
usia akun login bilang tidak tahun,2,bumble,1
kalo jatah like nya habis tidak bisa ngelike ya tidak bisa install ku pakai like orang habis tidak bisa kudu beli premium,2,bumble,9
aplikasi lambat wifi kencang,1,bumble,1
main photo kayak photo verifikasi tidak di approve,1,bumble,7
copot aplikasi nya klik love susah kenal,2,bumble,4
ya login susah banget security check nya tidak muncul masuk,1,bumble,7
ribet ngisi data kenal kagak tidak ada privasi srkali,1,bumble,3
tidak jelas main blokir alas sebar konten tidak benar tidak laku aneh profil verifikasi blokir tidak niat bikin apk kah aneh banget ckck,1,bumble,7
orang single sih tidak masalah bikin rumah tangga istri n anak main kayak cari cewek tidak sih seleksi guna nya,2,bumble,3
premium akun kena block tiba tidak laku aneh akun kena block bumble mohon erti akun,3,bumble,7
ku aplikasi seru apaapa bayar mahal banget kalo niat bantu cari jodoh ya minimal kasih bebas dikit seengganya likenya tidak dibatasin alah pakai kecewa banget sih boro pasang like diburemin,2,bumble,6
verifikasi pakai nomer gagal,2,bumble,7
layan fast chat tidak di sengaja nyala mode snooze tidak dapat kembali kecewa karnakan tidak dapat merestore chat,2,bumble,7
download akun kali tidak bisa tolong baik,1,bumble,7
tarik bagus cari teman,5,bumble,2
cari lawan jenis niya susah gampang doalnya kalo abis geser kiri tidak bisa cari orang mrsti tunggu brok nya lgsoalnya kalo lihat langsung byar bulan main app mesti kudu sabar,4,bumble,2
akun blokir tukar foto tidak ada aneh kali kaya sih bumble balikin akun,1,bumble,7
refresh likesnya tidak jelas,2,bumble,2
tidak ada pasang muncul apikasi kubur sepiuninstal langsung tidak tarik,1,bumble,9
tidak bisa log akun coba log pakai nomor nomor nomor tolong atas terimakasih,1,bumble,7
tidak bisa akun panggil tidak ada panggil masuk pesan kode salah,1,bumble,7
aplikasi tidak jelas foto foto kali mohon dibenerin tidak hanya,1,bumble,7
apk error please check numberpadahal nomor benartolong baik secepatnyaaatqs,1,bumble,7
langgan susah bayar nya error,1,bumble,9
apk tidak jelas klik suruh pilih foto uninstal langsung,1,bumble,7
ya akun top up akun premium buka tulis ingat umur atas tolong kembali akun please fix this,1,bumble,7
tidak bagus aplikasi kencan,1,bumble,2
lot kalo pakai wifi apk lancar wifi ngebut,1,bumble,1
coba beli boost saldo dana potong boostnya tidak masuk tampil langgan konfirmasi paket suruh buka aplikasi layan boostnya tidak aktif woy,1,bumble,9
terima kasih ya stop langgan sedot tolol,1,bumble,4
fitur compliance nya batas tidak bisa komentar,4,bumble,5
mohon maaf developer hubung cs konsultasi bumble tipu terimakasih,5,bumble,6
aplikasi cari uangbegitu belumlangganan ngelike bykpas langgananmalah tidak ada likesuruh bayar lagianeh sih,1,bumble,9
terkadang crash muat,1,bumble,9
manfaat,5,bumble,1
saran sih mudah sih orang kenal kenal baru aman biar cepat nikah coz gue mulu nikah anjir,4,bumble,6
aplikasi komersil bayar aplikasi gratis like chat chat bayar duluan malas uninstall,1,bumble,0
bayar langgan minggu namum error mohon tanggap,2,bumble,9
ngebug suruh upload foto apk suruh upload upload ah sih,1,bumble,7
bug nya lot buka aplikasi nya,3,bumble,9
logout sendiripas login pakai no tidak bisa terusssekali kode nya tidak munculpliss mah,2,bumble,7
sih bayar tidak tentu benerlagian penipuyang mata duit yaapa pakai duitgila harta lu ya,1,bumble,3
tidak hari beli premium kena blok aplikasi besok,1,bumble,0
tidak bisa setting bahasa indonesia ya tidak bisa bahasa asing nya ribet banget,1,bumble,1
match cewek buka openingnya buka profil match tidak bisa dar foto parah sih jual nya,2,bumble,6
upgrade premiumtapi tidak premium saldo potong,2,bumble,9
ganti hp lcd rusak tidak bisa verifikasi pakai touchscreen masuk pakai hp telepon hp screen call me tidak gerak install uninstall budek curiga tidak curiga telepon tidak ditlp text tidak gue pakai bumble urus kerja bff tidak susah,1,bumble,6
verifikasi nya tidak munculmuncul daftar verifikasi nya tidak munculmuncul sih,1,bumble,6
tidak ada angin tidak ada hujan swipe kanan blokir cari untung beli paket premium,1,bumble,9
keren sih kayak next level aplikasi belah fokus cari pasang kalo cari teman,5,bumble,5
baharu acak ku filter cari muncul kayak tidak ada filterny,3,bumble,6
tidak bisa buka halaman sinyal jaring full tidak notif nya dsieuruh check jaring lol,2,bumble,8
kak tidak bisa geser ya suruh bayar kak tolong baik bayar,3,bumble,9
halo app iniapakah byr suka trma kasih prabayar potong langsung data,2,bumble,9
aplikasi buruk usia legal langgar usia tidak bisa aplikasi,1,bumble,1
kesal banget apk sumpah gua daftar suruh pasuk angka muluu pdahl dimasukkin tuh angka eh ulang pasuk angka tidak pindah situ,1,bumble,7
heran gue cewek aplikasi pink gampang aneh cewek sok value tidak ada,1,bumble,4
langgan premium error mulu beli,3,bumble,9
najiiiiis banget beli paket tidak bisa lihat like indak chat beli ikhlasin deh tuh uang aplikasi nguras najiiiis,1,bumble,9
premium tidak bisa gagal bayar via google play,4,bumble,6
kayak tidak laku deh pakai apk tidak menit habis swipe malesin sumpah kapai ya main,1,bumble,7
bumblenya tidak bisa buka verifikasi tidak ke buka bumble,1,bumble,7
verikasi wajah gagal tolong baik apk,1,bumble,7
nomor indak login tolong baik,1,bumble,7
tidak bisa swipe ya,3,bumble,9
tidak bisa log call me tidak jalan huhu,2,bumble,1
akun kena batas usia usia tidak bisa pakai aplikasi sedih tolong solusi,1,bumble,6
guna cari teman,3,bumble,5
rumit verifikasi foto foto sistem tolak bye bye uninstall,1,bumble,2
terimakasih bumble berkat mu temu cari,5,bumble,5
aplikasi bagus temu teman jodoh terima kasih aplikasi temu pasang hidup,5,bumble,5
moga benar jodoh berkah,5,bumble,5
aplikasi aneh tidak dapat per curi data,1,bumble,6
bumblekok tidak bisa masuk apknya ya no tlpnpdhl akun aktif,3,bumble,8
loading mulu sinyal wifi bagus hehehe,1,bumble,1
download ok apk uar login nomor warning umur ielas download umur loh min ya sebal sih,3,bumble,7
verifikasi wajah pas take foto enggk coba,1,bumble,7
leleet pol lancar,1,bumble,7
bumble lot banget slow banget kayak ganggu,1,bumble,3
tarik mudah cari teman obrol,4,bumble,5
aplikasi tidak jelas,1,bumble,6
tambah teman bagi alam,5,bumble,1
langgan premium tidak bisa,3,bumble,9
buka aplikasi warna kuning buka,2,bumble,9
sulit langgan,1,bumble,9
aplikasi seru,5,bumble,6
lovenya bayar mahal,2,bumble,9
aneh banget akun blok tuduh bumble anak hadehh bumble ruwettt,1,bumble,3
enak,4,bumble,0
oke asik cari teman,5,bumble,5
bagus sih bingung sih pakai nya match,5,bumble,6
fake akun centang biru,1,bumble,7
login tidak bisa aneh,1,bumble,7
aplikasi tolol we are call phone number kali tidak ada panggil hapus playstore,1,bumble,9
match bayar tunggu bulan,1,bumble,0
dadak akun tidak bisa muncul ya,2,bumble,7
tidak ada runcing tampung,5,bumble,8
aplikasi bagus,5,bumble,2
apl langsung ngedrop parah dha simpan data penuh kah ngeblank,1,bumble,2
premium nya mahal,5,bumble,0
aplikasi nya tidak mau buka ya,1,bumble,9
tolong tindak lanjut akun nama made edo lisando leceh terimakasih,1,bumble,4
baik habis uang,5,bumble,2
registrasi ribet malam tidak rekomendasi,1,bumble,9
cari jodoh lumayan bantu sih moga hasil,5,bumble,5
tarik,5,bumble,2
susah banget login,1,bumble,7
tidak pernah match,3,bumble,0
umur bawah tidak bisa login,1,bumble,7
bagus aplikasi,5,bumble,2
macet ya,2,bumble,9
bumble anjinkk aing bayar tidak bisa swipe tolol,5,bumble,7
bayar tau tau blokir,1,bumble,7
pakai nya like limit tidak bisa kapai gue cakep loh tidak ada responnumpuk orang like cuman diliatin premium,1,bumble,7
habis scroll merefresh tolong beberin capek kalo merefresh chat,1,bumble,4
masuk nomor tunggu kode verifikasi aplikasi tolong kembang canggih,2,bumble,7
bolak masuk nomer kagak ribet,1,bumble,7
kali pakai apk medsos akun tidak di block tidak buat salah tidak malah cownya ajar tidak yang report dasar coba parahhhhh sapa akunny block tidak lama block ckckckck,1,bumble,6
download tidak bisa buka cuman loading doang,1,bumble,9
nomor tidak bisa login tidak tau sebab nya dikembbalikan,1,bumble,7
update stuck paket data,5,bumble,9
logout ya akun umur tidak bisaaaa,3,bumble,7
sih detik suruh pasuk foto profile tidak jelas masuk,1,bumble,7
bayar,3,bumble,0
batas orang like,4,bumble,0
coba ya,3,bumble,2
berkat bumble doi teman,5,bumble,5
renti langgan sih autodebet cc,3,bumble,4
bumble tidak mulai chat blokir akun ya jelek banget aplikasi blokir akun alas,1,bumble,7
super loading wifi sinyal full bagus,1,bumble,1
beli premium buka block,1,bumble,9
akun tidak bisa masuk masuk contact support kasih tau umur cantum tanggal lahir umur,3,bumble,7
paksa hapus tidak bisa orang suka mahal,3,bumble,4
fitur deskripsi,5,bumble,0
beda agama putus pacar dua putus kalo baik bumble msing moveon bumble cewek tidak benar cowok susah nya coba langsung butuh nya proses tau nya mana susah ya habis material coba aplikasi sortir orang lelah cariny haha,1,bumble,6
beli premium umur kena banned bawah contact support tidak ada respon,1,bumble,7
tidak bisa login,1,bumble,7
sih blokir umur dasar aplikasi aneh,1,bumble,7
nge bug tidak bisa buka,1,bumble,9
aneh akun kena blokir atur langgar tawar jasa guide bule butuh app pelit banget tidak boleh orang kerja situ gue sumpahin lu bangkrut nutup rejeki orang,1,bumble,6
bagus sih cuman tidak cocok orang introvet malas cewek duluan sekali ketemu wa eh cowok kenal minjem uang juta tidak lagi cundle cowok cewek bumble kayak ya deh sekian terima kasih,1,bumble,6
loading sinyal bagus,4,bumble,2
lot banget,1,bumble,2
match queue langsung hilang ya tolong tindak lanjut,3,bumble,0
foto profil nya tidak bisa update,1,bumble,7
pulih akun ingat usia 1 tidak dapat login usia 1,1,bumble,7
iseng instal tau besok lihat ulas,3,bumble,0
lumayan hibur sih,4,bumble,6
bumble apk pakai bahasa inggris ya tidak bisa rubah,4,bumble,3
sih ya tuhan bumblee akun kali blokir umur knpaaaaaaaaa kali blokir akun beda,1,bumble,7
top up suruh bayar terus,1,bumble,5
aplikasi ajar login pakai nomor telepon verifikasi telpone telepon angkat mati bikin kesel aplikasi,1,bumble,6
bagus sih cuman tidak cocok orang introvet malas cewek duluan sekali ketemu wa eh cowok kenal minjem uang juta tidak lagi cundle cowok cewek bumble kayak ya deh sekian terima kasih,1,bumble,6
top up suruh bayar terus,1,bumble,5
bumble apk pakai bahasa inggris ya tidak bisa rubah,4,bumble,3
kali loadingnya jaring internet lancar,1,bumble,7
aplikasi ajar login pakai nomor telepon verifikasi telpone telepon angkat mati bikin kesel aplikasi,1,bumble,6
sih ya tuhan bumblee akun kali blokir umur knpaaaaaaaaa kali blokir akun beda,1,bumble,7
tidak support bahasa,2,bumble,1
anjirit gue bayar dowlod tidak bisa salah nya mana sih nih aplikasi sial,1,bumble,9
kecewa iya tidak ada angin tidak ada hujan akun blokir bumble alas my akun fake cerita thts me reall not fake lapor tidak di balikin aku rajin langgan premium pakai sistem kenal wajah laporin orang fake blokir benar tolong sistem bumble nya benerin tidak ada salah tidak aneh bumble blokir my acc bumble nya,1,bumble,3
bagus sih mahal premiummya sminggu susah temu cewek nya,5,bumble,7
anjir saldo spay tau tau sedot lanjut langgan app tidak ada notif apaapa,1,bumble,9
kayak tidak tau premium coba,2,bumble,7
mohon baik koneksi jelek wifi,3,bumble,1
beli langgan tidak aktif langgan nya,2,bumble,9
sesal gua langgan langgan premium apk tidak guna,1,bumble,9
match susah kaya tidak kayak pemabatasan kali ya tidak seasik suruh bayar,2,bumble,0
bagus gampang jodoh,5,bumble,2
download dsruh bayar tidak juga ngechat,1,bumble,9
upload photo kagak main,1,bumble,7
tidak bisa log nomor handphone,1,bumble,7
lihat orang ngelike kitaini bayar sayang sih,4,bumble,9
ulang kali pasuk no telpon daftar tidak bisa,2,bumble,7
aneh akun kena blokir atur langgar tawar jasa guide bule butuh app pelit banget tidak boleh orang kerja situ gue sumpahin lu bangkrut nutup rejeki orang,1,bumble,6
tidak ada tombol login email,1,bumble,7
tidak ada poto cewek cosplayer otaku ngehobi aplikasi dating tidak rekomen mending ngewaifu,1,bumble,4
batas orang like,4,bumble,0
mahal premium,1,bumble,0
eror apk nya tidak bisa buka,3,bumble,7
ribet daftar login akun,1,bumble,7
maaf kasih bintang tidak bisa kirim nomor verifikasi ya nomor benersampe emosi,2,bumble,7
tidak bisa ngechat tidak swipe match ya,2,bumble,0
baguuusss tapiii sayang banget like nya terbatass huhuhuhu,4,bumble,8
guna anak remaja,5,bumble,4
bagus kaya kjrang penghima dikit banget,4,bumble,7
tidak bisa daftar pakai nomor hape not rekomendit,1,bumble,6
mangkasih ya bumble tlah temu kak gerard cabang mana ya,5,bumble,5
aplikasi ya login mati ampun deh admin bikin gemas,1,bumble,7
big thanks bumble jodoh berkat bumble,5,bumble,5
nih sih sinyaln kuat muter,1,bumble,6
tidak ada respon likemungkin fake account,3,bumble,6
akun hapus ya,1,bumble,7
aplikasi tolol tidak bisa masuk anjing,1,bumble,7
tidak bisa akses parah deh,1,bumble,3
aplikasi inti bayar,1,bumble,9
kasih bintang ya kalo bagus entar kasih bintang,3,bumble,3
iseng instal tau besok lihat ulas,3,bumble,0
tidak jelas umur gue bilang coba akun berkalikali,1,bumble,7
lumayan hibur sih,4,bumble,6
seru ngisi sepi,5,bumble,7
aplikasi tidak ada apa senang,2,bumble,1
suka bumbletop suka pohon bintang bumble,5,bumble,7
banget pakai foto daftar,1,bumble,7
