content,score,app,topics,label,value
tolong kali match langsung hilang error showing matchesnya tolong baik,2,bumble,0,neutral,0.728768527507782
apasih verifikasi foto gagal mulu foto gue muka gue tidak bisa kalo tidak bisa verifikasi balikin beranda tahan mulu verifikasi foto,1,bumble,7,negative,0.9979375600814819
akun block pas bangun tidak rasa langgar mohon bantu nya email jugamohon respon nya,1,bumble,0,neutral,0.975179135799408
download langsung premium eh appsnya loading kerja,1,bumble,1,negative,0.991422712802887
aplikasi macet kali uninstallinstall,2,bumble,9,negative,0.9807929992675781
bayar premium tidak di aplikasi tidak premium,2,bumble,9,neutral,0.8568370938301086
halo bumble account ku ya tolong baik thank you,3,bumble,7,positive,0.5675359964370728
tidak bisa verifikasi login masuk halaman retake photo hubung contact support tidak ada response balikin uang rugi bandar,1,bumble,7,negative,0.998469889163971
bayar premium tidak bisa pakai,1,bumble,9,negative,0.8947196006774902
lebih filter dasar agama lokasi positif fake account negatif cegah jahat kriminal akibat bumble mohon admin bumble delete fake account masuk bumble depan terima kasih,5,bumble,6,neutral,0.5523483157157898
loading ya indak tampil apa kuota jaring bagus banget uninstal instal ulang tolong baik,3,bumble,1,neutral,0.9203266501426697
bumble tolong tidak lanjut premium tiba saldo gopay tarik otomatis tuju,1,bumble,9,neutral,0.9961362481117249
premium habis tanggal tanggal tidak tenggak bumble tidak terupdate langgan saldo potong henti langgan minggu bumble premium henti tanggal tidak terupdate minggu mohon cerah,1,bumble,9,neutral,0.9942591190338135
aplikasi tidak jlas login susah pakai nomer telepon fb tidak bisa masuk kasih nomor akun fb,1,bumble,7,neutral,0.9866769313812256
sih langgan eror konfirmasi bumble tidak bisa pakai premium coba tolong selesai tidak sampai kasih rating bintang,3,bumble,3,negative,0.5754677057266235
buka profil lot banget buka chat lot benar lot banget sih,1,bumble,9,neutral,0.5793660879135132
aplikasi tolol gara gara gua cuekin cewek gua nemu cowok telfonan gua tidak pernah dikabarin endingnya udahan jalan terimakasih bumble,1,bumble,8,negative,0.9965156316757202
min tidak bisa masuk tolong bantu min instal uninstal instal uninstal tidak masuk sih kirim kode nya,2,bumble,7,neutral,0.996263325214386
bumble ya loadingnya banget uninstal download loadingnya banget langgan loh,1,bumble,7,positive,0.9976256489753723
bayar biar match cewek hadeeh payah aplikasi auto uninstall deh beda aplikasi swipe cewek match bayar,1,bumble,0,negative,0.9792632460594177
aplikasi bagus sayang orang like tidak sengaja swipe kiri langsung hilang permanen tolong dibenerin tidak dapat match gara swipe kiri hadehhhh,3,bumble,9,negative,0.7494194507598877
buka bumble lambat loading developer tolong tingkat aplikasi cepat buka aplikasi,2,bumble,9,neutral,0.5920024514198303
apknya bagus guna yahg bagus tolong ya pengunanya filter banyak tidak jelas orang kesel kalo match orang cina ngajakin main trading slot ujung,4,bumble,6,negative,0.9977872371673584
langgan tanggal tanggal saldo ambil dasar aplikasi rampok,1,bumble,9,neutral,0.9987093210220337
langgan premium buka apk log out masuk suruh daftar verifikasi akun tidak bisa masuk tidak bisa buka rugi bayar premium akun tidak bisa pulih payahhhhh masuk daftar premium hilang blokir tidak masuk akal,1,bumble,7,negative,0.9789204001426697
lot banget chatnya suka kirim ulang,1,bumble,9,positive,0.9914236664772034
lumayan bagustapi premium,3,bumble,6,positive,0.9991042017936707
aplikasi cepat lihat,1,bumble,9,positive,0.9404025673866272
aplikasi nya loadingnya,3,bumble,6,positive,0.9574793577194214
habis update jelek tidak bisa buka,1,bumble,7,negative,0.9994250535964966
aplikasi sampah verif wajah tidak guna,1,bumble,6,negative,0.7730103135108948
cerita habis subscribe bayar ribu lot appnya tidak subscribe lancar kayak dikerjain,2,bumble,5,negative,0.9986217021942139
match tidak muncul daftar match nya chat tidak ada masuk satu sih,2,bumble,7,negative,0.8506284952163696
fitur batas apl tidak guna guna gratis tidak harap nikmat aplikasi bayar premium,1,bumble,9,neutral,0.9651823043823242
sebel banget masuk upload foto,3,bumble,7,negative,0.9964505434036255
buka bumble loading tidak bisa buka jarak suka aco filter,2,bumble,7,negative,0.980583667755127
aplikasi enter code codenya tidak muncul muncul langgan premium,1,bumble,9,neutral,0.9979039430618286
teks indonesia,5,bumble,6,positive,0.9845261573791504
tolong developer nya nih ya beli premium tidak bisa kepake suruh try again,2,bumble,9,negative,0.8906274437904358
aplikasi datting apps bagus moga temu pasang,5,bumble,5,positive,0.998456597328186
appnya lag subscribe ngerugiin banget,2,bumble,5,negative,0.9950295090675354
bayar tidak bisa pakai,1,bumble,6,negative,0.8858121037483215
wifi mbps pakai hp loading screen kayak tau,1,bumble,6,negative,0.5163484215736389
aplikasi fake akun mohon kait ketat verifikasi foto aplikasi seru real orang teman fake akun berhatihati,1,bumble,6,neutral,0.9988349080085754
halo buka bumble tidak adanampak profil foto orgnya buka profil orgnya tidak bisa,1,bumble,7,neutral,0.9327148795127869
klik apk langsung,1,bumble,7,neutral,0.99679034948349
loadingnya knapa ya,1,bumble,4,negative,0.9982231259346008
parah sih loadingnya gila luamaaa banget loadinv foto muter gakjelass beda app lai,1,bumble,6,negative,0.9995049238204956
lot sinyal bagus,1,bumble,2,positive,0.9987906813621521
knapa masuk loading banget,1,bumble,2,negative,0.991489827632904
aplikasi tolol verifikasi muka gagal,1,bumble,7,negative,0.9526677131652832
langgan tidak bisa pakai lihat ngelike kocak banget,1,bumble,9,negative,0.9944981932640076
ya tidak bisa login,1,bumble,7,neutral,0.9951326251029968
tidak jls banget tidak ngpa in tiba akun blokir download kirim aneh,1,bumble,7,negative,0.9919752478599548
susah login callnya mati mulu,1,bumble,7,negative,0.99934321641922
aplikasi bantu temu pasang hidup,4,bumble,5,neutral,0.9983294606208801
masuk susah verifikasi gagal,1,bumble,7,negative,0.9967955946922302
suka error nih premium,4,bumble,9,negative,0.998842716217041
tidak bisa loading,1,bumble,1,negative,0.9972286820411682
bagus apk nya cuman susah jodoh sabar tidak bisa chat duluan,5,bumble,0,negative,0.9914973378181458
curang banget loading biar uninstal download curang marketing,1,bumble,1,negative,0.9993497729301453
akun blokir akun verifikasisi gagal muka bumble balik akun blokir tolong tidak mudah verifikasi akun baru,2,bumble,7,neutral,0.9989816546440125
ya tidak bisa login bumble tunggu call me kali kali tidak ada muncul kode verifikasi nya mohon bantu ya,4,bumble,7,neutral,0.9986648559570312
gilir beli premium tidak ada likesedangkan kalo tidak premium likepinter marketingnya,1,bumble,3,negative,0.9896960258483887
notifnya tidak ada buka telfonnya gampang mati baik ya,2,bumble,1,negative,0.8261865377426147
aplikasi tidak jelas tantan bagus aplikasi bumble bobrok hapus playstore tidak guna,1,bumble,6,negative,0.9976352453231812
akun logout pas login umur kemarin main aman aman,1,bumble,7,neutral,0.9813976287841797
apknya bagus ges kadang ngebug worth ketemu pacar,5,bumble,8,positive,0.9987167119979858
tidak bisa pakai premium nya tau dana top up premium tidak bisa siii,1,bumble,9,negative,0.9209249019622803
sih ubah bahasa indonesiakok tidak ada atur,5,bumble,8,neutral,0.99126797914505
langgan masuk umur tidak cukup umur tolong developer baik nipu,1,bumble,7,negative,0.9982832670211792
tidak bisa buka loading koneksi internet,1,bumble,7,neutral,0.9492540955543518
sih appnya pakai tidak kenapa kelogout pas login tidak tahu umur gua,1,bumble,3,negative,0.8153274059295654
masuk aplikasi loading tidak ada internet internet buka aplikasi kencang,1,bumble,7,neutral,0.9192258715629578
loading tidak bisa pakai app nya,1,bumble,6,negative,0.9838513731956482
sorry bintang akun kena blocked tidak jelas langgan,1,bumble,0,negative,0.9979939460754395
aplikasi tidak dapat buka uninstall tidak ada solusi,1,bumble,9,negative,0.8702268004417419
halo admin bumbble upgrade premium tidak ada chat masuk ya tolong baik sistem install initerima kasih tidak ada chat masuk kirim pesan tidak bisapadahal premium,1,bumble,0,negative,0.667939305305481
apps dating bayar verifikasi profil suka lewat sambung chat suka gratis bumble pelit mahal mode gratis swipe suka fitur bayar,1,bumble,0,negative,0.993643045425415
aplikasi khusus orang goodlooking minggu install tidak ada chat masuk,2,bumble,7,neutral,0.9965282082557678
aplikasi buruk tahun ndk satu macth mahal biaya top upnya,1,bumble,1,negative,0.9991816878318787
tidak premium swipe nya batas sayang nya,3,bumble,9,negative,0.9791126251220703
nih login pakai nomor tidak bisa pakai fb salah ketik lahir tidak bisa masuk,1,bumble,7,neutral,0.9768515229225159
tidak beli apa bumble guys premium beli kacau spotlight beli pisah kurang minggu pakai penuh kuota minimal pakai minggu rang sisa spotlight kurun minggu spotlight beli premium kalo bintang minus kasih deh,1,bumble,3,negative,0.9980688691139221
sih tidak bisa teeus verifikasi muka asli loh aneh banget aplikasi,1,bumble,7,negative,0.9985162615776062
update lelet su,1,bumble,4,negative,0.998916745185852
langgan premium tidak dapat akses premium,1,bumble,9,negative,0.819523274898529
ya jam pakai apk inikok pas asik log out login nomor tidak bisa pakai yapadahal tidak laku kesalahandan langgan premiummasa jam error ginipulihin akun lahrugi bangetpas login pakai nomor ponsel eh tulis suruh cek nomor ponsel,1,bumble,7,negative,0.9943562150001526
wifinya amanaman pas dating aps belah dating aps tidak mau jalan pakai wifi mau jalan pakai paket hotspot,1,bumble,9,negative,0.6747286915779114
deh kalo langgan tidak lanjut otomatis sih duit shopee kuras nih elah,1,bumble,9,negative,0.9980630278587341
terima kasih bumble temu nisa moga langgeng,5,bumble,5,positive,0.9973959922790527
aplikasi bayar tidak usah didownload tidak ada pesan masuk aplikasi sepi lihat suka profil berbayarberlangganan,1,bumble,7,negative,0.9437870979309082
bumble lot banget ya,1,bumble,5,positive,0.9961283206939697
aplikasi tidak jelas bayar mahal ngeleg parah tidak jelas aplikasi,1,bumble,6,negative,0.9991909861564636
sedih banget match cowok pas nama anggi unistal bumbel lost contact,5,bumble,1,negative,0.9990041851997375
keren match tidak fake,5,bumble,6,positive,0.9850002527236938
suka alam ketemu orang cantik pribadi kayak rara cewek bener special gua gua pengin terima kasih bumble pertemuin gua sih alam indah gua pakai app,3,bumble,3,positive,0.9987071752548218
aplikasi bagus fitur nya bagus paham guna akun log out usia tidak tahun usia cukup mohon baik akun tolong kembali,4,bumble,7,positive,0.9804248213768005
aplikasi respons,1,bumble,6,neutral,0.9916931986808777
loading macet lihat komen mikir,1,bumble,9,negative,0.9992576241493225
hp lot,3,bumble,7,neutral,0.9973912239074707
lot ya,3,bumble,5,negative,0.520236611366272
bug,1,bumble,9,positive,0.9149402976036072
ajg baperan tbtb bumble gua bff gua normal cok,4,bumble,6,negative,0.9906471371650696
kocak apk rusak loading mulu tidak jelas baik gblog,1,bumble,3,negative,0.999478280544281
tolong informasi langgan paket tidak aktif tidak ada respon bagi adu ya trmksh,3,bumble,6,neutral,0.8392703533172607
daftar verifikasi gagal ya info sesuai gestur foto profil mirip coba bolak tidak bisa akun tidak bisa buka buka foto verifikasi mohon infony,3,bumble,7,neutral,0.9972649812698364
aplikasi loading tidak mau tampil apa cakap tidak balas jam diangap tidak cocok gua update lambat cakap expired update maret aplikasi ringan,4,bumble,4,negative,0.9987393021583557
kritik bayar mana tidak ke input aplikasi bayar shopee pay pahment lainnyakasus pulsa mandiri sesal banget ngabisin ribu tahi nya play store menu anggar tulis dana dikembalikantolong kembali mana ya sesal parah,2,bumble,9,negative,0.9993728995323181
database kota diupdate provinsi kota oke kota profil lengkap,4,bumble,8,neutral,0.968853771686554
sok far aplikasi dating keren bagus pakai bumble verifikasi nya susah ketat sok bagus banget tidak ada bohong publik kemudi orang nya unik cewek chat duluan laki laki balas teman korea aplikasi thanks bumble tingkat fitur nya,5,bumble,0,positive,0.9989643096923828
ribet banget upload foto tidak pernah hasil beli fitur premium verifikasi upload foto tidak pernah hasil akun tidak bisa pakai pakai fitur premium ribetin parah akun tidak bisa kepake pindah aplikasi belah aplikasi tidak guna,1,bumble,9,negative,0.9985333681106567
bumble si marketing gilir tidak langgan match mulu foto blur lihat langgan langgan hasil zonkkkk satu tidak ada match swipe auto uninstall,1,bumble,9,negative,0.9958521127700806
bagus cepat habis like nya tolong baik tidak lebih orang tidak bisa swipe aneh,2,bumble,0,negative,0.9954978227615356
aplikasi buruk langgan aneh ruang gerak batas bayar aplikasi orang sistem manfaat duidnya orang untung beli aplikasi tidak jelas,1,bumble,6,negative,0.9993096590042114
aplikasi ya ulang log pasuk otp langsung beli premium tolong resin,1,bumble,7,neutral,0.9990070462226868
bagus sih ya rada sebel beli paket kenpa tidak sesuai ekspektasi kalo match tidak ada chat susah match nya rada sesal sih beli paket nya bumble,4,bumble,9,negative,0.997350811958313
free premium kasi bintang,5,bumble,0,neutral,0.9803691506385803
rekomendasi bayar aplikasi coba beli pakai tidak bisa lihat ngelike foto bingung buka aplikasi tawar bayar,2,bumble,9,negative,0.9584442377090454
tidak seru upgrade premium tidak asik,2,bumble,9,negative,0.9975093603134155
kalo chat bayar download,2,bumble,9,negative,0.9869001507759094
handphone hilang tidak bisa masuk akun match tidak saya pakai moga handphone ganti,5,bumble,4,neutral,0.9754637479782104
ku aplikasi bagus obrol orang pikir sok far tidak ada kirim gambar aneh recomended,5,bumble,0,positive,0.995830237865448
aplikasi nya bayar semuamembuka chat mach tidak bisaini aplikasi nya banyak bayarrrrrrrrrrrrrrini balas gratis gratis buka cocok bayar lihat like bayar chat bayar bohong gratis,1,bumble,0,negative,0.9984585046768188
stuck loading screen,1,bumble,9,negative,0.9242664575576782
tolong min masak main bumble akun blokir bawah atas coba logout tidak bisa tolong ya min,1,bumble,7,neutral,0.999065101146698
verifikasi foto terus tidak baa kunci akun verifikasi proses verifikasi mudah deteksi mata tahan pakai makeup filter tidak match susah banget verifikasi tolong diperbaikin sistem,2,bumble,7,neutral,0.9733793139457703
logout coba login notifikasi umur bawah,2,bumble,7,neutral,0.998816967010498
beli akun premium aplikasi reset umur tidak bisa masuk atas ngluarin uang aplikasi nya tidak jelas,1,bumble,7,negative,0.9980648159980774
panjang weekly ngelag muter ngechat tidak bisa,1,bumble,3,negative,0.9974613189697266
aplikasi bagus cari teman obrol,5,bumble,5,positive,0.9968607425689697
likes nya,1,bumble,6,negative,0.8491804003715515
tidak langgan fitur super swipe tibatiba saldo ovo potong langgan panjang otomatis sih,1,bumble,9,neutral,0.9746828675270081
overall bagus fitur bersih nya tambah tidak dengan hapus riwayat deleted account,4,bumble,6,positive,0.9901572465896606
halo kaksaya tidak tau akun kena reportsaya coba akun facebook beli nomor hp login bumble akun nya kena report wajah tidak lihat tahuntolong ya pulihin akun terimakasih,2,bumble,7,neutral,0.9968335032463074
masuk akun gimanabaru download disuru bikin akun,1,bumble,7,neutral,0.9989892840385437
thanks gua cewek usaha menangin hati wish me luck guys,5,bumble,3,positive,0.9362965226173401
bumble plisssss gue aju kembali dana orang apps nya logout tari dana premium,1,bumble,7,neutral,0.9984631538391113
ngelag sih,2,bumble,3,negative,0.9992135763168335
banyak isi bini orang ketemu bini orang,1,bumble,4,negative,0.9956982135772705
tidak download sesal habis bayar langsung lot,1,bumble,9,negative,0.938271701335907
tidak bisa login no,1,bumble,7,neutral,0.9342991709709167
blokir tidak kapai,1,bumble,7,negative,0.9793434143066406
bagus cari teman,4,bumble,5,positive,0.894004225730896
ya akun blokir foto nya sah sah tidak kandung guilty,1,bumble,4,neutral,0.9887312054634094
lucu orang temu aplikasi,2,bumble,0,neutral,0.9960790276527405
nih apk bagus cuman kudu cewek doang sih cakap,4,bumble,4,positive,0.5721197724342346
tidak bisa login nomor hp nomor hp masuk tunggu kode verifikasi bumble telpon tidak ada telpon masuk bumble,2,bumble,7,neutral,0.9987630844116211
lot banget gakaya banget sinyal bagus lelet loh aplikasi busuk banget,1,bumble,2,negative,0.9994662404060364
tidak pernah instal aplikasi email pemberitahuan langgana maksud coba,1,bumble,7,neutral,0.9972932934761047
jarang komplain akun hilang login denga nomor tibatiba langsung suruh akun tolong admin balikin akun,2,bumble,7,neutral,0.9928328990936279
bahaya nih aplikasi tidak langgan saldo gopay potong pemberitahuan saldo potong langgan bumbel,1,bumble,9,neutral,0.9967042803764343
tolong buat mode gelap silau buka kondisi ruang gelap,5,bumble,0,neutral,0.9989481568336487
langgan tidak premium app kah tipu,1,bumble,6,negative,0.9589665532112122
tin ba aplikasi niat kenalanbngtnya guna nrkudik bikin ribet kenal baik,3,bumble,9,negative,0.9943969249725342
lumayan bagus banding,4,bumble,6,positive,0.9993361830711365
tolong no tidsk verifikasi langgan,1,bumble,7,neutral,0.9984397292137146
bagus kudu bayar heheheh,5,bumble,0,positive,0.9890000224113464
usia akun login bilang tidak tahun,2,bumble,1,neutral,0.9959306120872498
kalo jatah like nya habis tidak bisa ngelike ya tidak bisa install ku pakai like orang habis tidak bisa kudu beli premium,2,bumble,9,negative,0.9939886331558228
aplikasi lambat wifi kencang,1,bumble,1,negative,0.9974454641342163
main photo kayak photo verifikasi tidak di approve,1,bumble,7,neutral,0.5220008492469788
copot aplikasi nya klik love susah kenal,2,bumble,4,negative,0.9981265664100647
ya login susah banget security check nya tidak muncul masuk,1,bumble,7,negative,0.9986100196838379
ribet ngisi data kenal kagak tidak ada privasi srkali,1,bumble,3,negative,0.6160474419593811
tidak jelas main blokir alas sebar konten tidak benar tidak laku aneh profil verifikasi blokir tidak niat bikin apk kah aneh banget ckck,1,bumble,7,negative,0.9925941824913025
orang single sih tidak masalah bikin rumah tangga istri n anak main kayak cari cewek tidak sih seleksi guna nya,2,bumble,3,negative,0.9667001366615295
premium akun kena block tiba tidak laku aneh akun kena block bumble mohon erti akun,3,bumble,7,negative,0.973005473613739
ku aplikasi seru apaapa bayar mahal banget kalo niat bantu cari jodoh ya minimal kasih bebas dikit seengganya likenya tidak dibatasin alah pakai kecewa banget sih boro pasang like diburemin,2,bumble,6,negative,0.9409597516059875
verifikasi pakai nomer gagal,2,bumble,7,negative,0.9571536183357239
layan fast chat tidak di sengaja nyala mode snooze tidak dapat kembali kecewa karnakan tidak dapat merestore chat,2,bumble,7,negative,0.9838056564331055
download akun kali tidak bisa tolong baik,1,bumble,7,neutral,0.846630334854126
tarik bagus cari teman,5,bumble,2,positive,0.9920310974121094
cari lawan jenis niya susah gampang doalnya kalo abis geser kiri tidak bisa cari orang mrsti tunggu brok nya lgsoalnya kalo lihat langsung byar bulan main app mesti kudu sabar,4,bumble,2,negative,0.9948297142982483
akun blokir tukar foto tidak ada aneh kali kaya sih bumble balikin akun,1,bumble,7,negative,0.5865438580513
refresh likesnya tidak jelas,2,bumble,2,negative,0.9994016885757446
tidak ada pasang muncul apikasi kubur sepiuninstal langsung tidak tarik,1,bumble,9,neutral,0.9584370255470276
tidak bisa log akun coba log pakai nomor nomor nomor tolong atas terimakasih,1,bumble,7,neutral,0.9987534284591675
tidak bisa akun panggil tidak ada panggil masuk pesan kode salah,1,bumble,7,neutral,0.6853679418563843
aplikasi tidak jelas foto foto kali mohon dibenerin tidak hanya,1,bumble,7,negative,0.9867717623710632
apk error please check numberpadahal nomor benartolong baik secepatnyaaatqs,1,bumble,7,negative,0.9506607055664062
langgan susah bayar nya error,1,bumble,9,negative,0.9841655492782593
apk tidak jelas klik suruh pilih foto uninstal langsung,1,bumble,7,neutral,0.9221601486206055
ya akun top up akun premium buka tulis ingat umur atas tolong kembali akun please fix this,1,bumble,7,neutral,0.9990923404693604
tidak bagus aplikasi kencan,1,bumble,2,negative,0.9993482232093811
lot kalo pakai wifi apk lancar wifi ngebut,1,bumble,1,positive,0.9968633651733398
coba beli boost saldo dana potong boostnya tidak masuk tampil langgan konfirmasi paket suruh buka aplikasi layan boostnya tidak aktif woy,1,bumble,9,neutral,0.9881068468093872
terima kasih ya stop langgan sedot tolol,1,bumble,4,positive,0.8467798829078674
fitur compliance nya batas tidak bisa komentar,4,bumble,5,negative,0.7286789417266846
mohon maaf developer hubung cs konsultasi bumble tipu terimakasih,5,bumble,6,neutral,0.9344195127487183
aplikasi cari uangbegitu belumlangganan ngelike bykpas langgananmalah tidak ada likesuruh bayar lagianeh sih,1,bumble,9,negative,0.9991451501846313
terkadang crash muat,1,bumble,9,negative,0.9901701807975769
manfaat,5,bumble,1,positive,0.9991270899772644
saran sih mudah sih orang kenal kenal baru aman biar cepat nikah coz gue mulu nikah anjir,4,bumble,6,negative,0.746140718460083
aplikasi komersil bayar aplikasi gratis like chat chat bayar duluan malas uninstall,1,bumble,0,negative,0.6635721325874329
bayar langgan minggu namum error mohon tanggap,2,bumble,9,negative,0.783470094203949
ngebug suruh upload foto apk suruh upload upload ah sih,1,bumble,7,negative,0.9860081076622009
bug nya lot buka aplikasi nya,3,bumble,9,neutral,0.9938713312149048
logout sendiripas login pakai no tidak bisa terusssekali kode nya tidak munculpliss mah,2,bumble,7,neutral,0.8614054322242737
sih bayar tidak tentu benerlagian penipuyang mata duit yaapa pakai duitgila harta lu ya,1,bumble,3,negative,0.999477207660675
tidak hari beli premium kena blok aplikasi besok,1,bumble,0,negative,0.6022665500640869
tidak bisa setting bahasa indonesia ya tidak bisa bahasa asing nya ribet banget,1,bumble,1,negative,0.9991365075111389
match cewek buka openingnya buka profil match tidak bisa dar foto parah sih jual nya,2,bumble,6,negative,0.9713758826255798
upgrade premiumtapi tidak premium saldo potong,2,bumble,9,neutral,0.9958547949790955
ganti hp lcd rusak tidak bisa verifikasi pakai touchscreen masuk pakai hp telepon hp screen call me tidak gerak install uninstall budek curiga tidak curiga telepon tidak ditlp text tidak gue pakai bumble urus kerja bff tidak susah,1,bumble,6,negative,0.9881191849708557
verifikasi nya tidak munculmuncul daftar verifikasi nya tidak munculmuncul sih,1,bumble,6,negative,0.5282114148139954
tidak ada angin tidak ada hujan swipe kanan blokir cari untung beli paket premium,1,bumble,9,neutral,0.9886627793312073
keren sih kayak next level aplikasi belah fokus cari pasang kalo cari teman,5,bumble,5,positive,0.876659631729126
baharu acak ku filter cari muncul kayak tidak ada filterny,3,bumble,6,negative,0.5950338840484619
tidak bisa buka halaman sinyal jaring full tidak notif nya dsieuruh check jaring lol,2,bumble,8,neutral,0.9937744140625
kak tidak bisa geser ya suruh bayar kak tolong baik bayar,3,bumble,9,neutral,0.9830016493797302
halo app iniapakah byr suka trma kasih prabayar potong langsung data,2,bumble,9,neutral,0.8371432423591614
aplikasi buruk usia legal langgar usia tidak bisa aplikasi,1,bumble,1,negative,0.9867222309112549
kesal banget apk sumpah gua daftar suruh pasuk angka muluu pdahl dimasukkin tuh angka eh ulang pasuk angka tidak pindah situ,1,bumble,7,negative,0.9993396401405334
heran gue cewek aplikasi pink gampang aneh cewek sok value tidak ada,1,bumble,4,negative,0.9994557499885559
langgan premium error mulu beli,3,bumble,9,negative,0.9992154836654663
najiiiiis banget beli paket tidak bisa lihat like indak chat beli ikhlasin deh tuh uang aplikasi nguras najiiiis,1,bumble,9,negative,0.9992985725402832
premium tidak bisa gagal bayar via google play,4,bumble,6,neutral,0.9063093662261963
kayak tidak laku deh pakai apk tidak menit habis swipe malesin sumpah kapai ya main,1,bumble,7,negative,0.9993202686309814
bumblenya tidak bisa buka verifikasi tidak ke buka bumble,1,bumble,7,neutral,0.997001588344574
verikasi wajah gagal tolong baik apk,1,bumble,7,negative,0.8823316097259521
nomor indak login tolong baik,1,bumble,7,neutral,0.9977374076843262
tidak bisa swipe ya,3,bumble,9,negative,0.9852076768875122
tidak bisa log call me tidak jalan huhu,2,bumble,1,negative,0.9975312948226929
akun kena batas usia usia tidak bisa pakai aplikasi sedih tolong solusi,1,bumble,6,neutral,0.9642379879951477
guna cari teman,3,bumble,5,neutral,0.9960640072822571
rumit verifikasi foto foto sistem tolak bye bye uninstall,1,bumble,2,neutral,0.9989514350891113
terimakasih bumble berkat mu temu cari,5,bumble,5,positive,0.9955079555511475
aplikasi bagus temu teman jodoh terima kasih aplikasi temu pasang hidup,5,bumble,5,positive,0.9955529570579529
moga benar jodoh berkah,5,bumble,5,positive,0.997147262096405
aplikasi aneh tidak dapat per curi data,1,bumble,6,negative,0.9918280839920044
bumblekok tidak bisa masuk apknya ya no tlpnpdhl akun aktif,3,bumble,8,neutral,0.9719760417938232
loading mulu sinyal wifi bagus hehehe,1,bumble,1,positive,0.9978518486022949
download ok apk uar login nomor warning umur ielas download umur loh min ya sebal sih,3,bumble,7,negative,0.9942139983177185
verifikasi wajah pas take foto enggk coba,1,bumble,7,neutral,0.9904441237449646
leleet pol lancar,1,bumble,7,positive,0.9950592517852783
bumble lot banget slow banget kayak ganggu,1,bumble,3,negative,0.9950169920921326
tarik mudah cari teman obrol,4,bumble,5,neutral,0.7388346791267395
aplikasi tidak jelas,1,bumble,6,negative,0.9991136193275452
tambah teman bagi alam,5,bumble,1,positive,0.9967328310012817
langgan premium tidak bisa,3,bumble,9,negative,0.9844739437103271
buka aplikasi warna kuning buka,2,bumble,9,neutral,0.9949448704719543
sulit langgan,1,bumble,9,negative,0.9972096085548401
aplikasi seru,5,bumble,6,positive,0.9992964267730713
lovenya bayar mahal,2,bumble,9,negative,0.9985101819038391
aneh banget akun blok tuduh bumble anak hadehh bumble ruwettt,1,bumble,3,negative,0.9994364380836487
enak,4,bumble,0,positive,0.9968542456626892
oke asik cari teman,5,bumble,5,neutral,0.9420164823532104
bagus sih bingung sih pakai nya match,5,bumble,6,negative,0.9859306812286377
fake akun centang biru,1,bumble,7,neutral,0.7979527115821838
login tidak bisa aneh,1,bumble,7,positive,0.6111713647842407
aplikasi tolol we are call phone number kali tidak ada panggil hapus playstore,1,bumble,9,neutral,0.5568933486938477
match bayar tunggu bulan,1,bumble,0,negative,0.9949581027030945
dadak akun tidak bisa muncul ya,2,bumble,7,negative,0.5660775899887085
