content,score,at,app,postag,afterpos,0,1,2,3,4,5,6,7,8,topic_id,topic_txt,x1,y1,x10,y10,x25,y25,x100,y100,label,value
langgan tidak bisa suruh bayar,1,2023-11-12 16:10:04,bumble,"[('Ġl', 'B-NNP'), ('anggan', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġsuruh', 'B-NNO'), ('Ġbayar', 'B-VBI')]",anggan suruh bayar,0.8047571182250977,0.0411684699356555,0.0329127237200737,0.0274181887507438,0.0234998892992734,0.0205623283982276,0.0182774178683757,0.0164496600627899,0.0149542335420846,0,aplikasi; bayar; coba; masuk; kasih; buka; batas; pakai; teman; jodoh,-50.77062,5.256882,80.58928,22.016546,60.775314,8.10843,19.068249,-37.336433,negative,0.9432422518730164
kak ya akun blokir verikasi premium tolong tidak di blok akun tidak laku langgar,1,2023-10-20 16:52:15,bumble,"[('Ġkak', 'B-NNO'), ('Ġya', 'B-PAR'), ('Ġakun', 'B-NNO'), ('Ġblokir', 'B-NNO'), ('Ġver', 'B-NNO'), ('ikasi', 'B-NNO'), ('Ġpremium', 'B-NNO'), ('Ġtolong', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġdi', 'B-PPO'), ('Ġblok', 'B-NNO'), ('Ġakun', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġlaku', 'B-NNO'), ('Ġl', 'B-NNP'), ('anggar', 'B-NNP')]", kak akun blokir verikasi premium blok akun laku,0.0253854803740978,0.3921490609645843,0.0146428225561976,0.012192802503705,0.5244073271751404,0.0,0.0,0.0,0.0,4,akun; blokir; akunal; laku; kali; tinder; bikin; main; cekal; salah,-31.231693,-63.115433,12.10516,22.727453,-25.282494,8.048772,-11.943996,28.71808,neutral,0.9988538026809692
bumble tolong swipe kanan halaman cocok hilang niat kenal orang tidak sih habis rekomendasi asli tolong baru keluar duit tidak di optimal,1,2023-08-05 09:21:35,bumble,"[('Ġb', 'B-NNP'), ('umble', 'B-NNP'), ('Ġtolong', 'B-NNP'), ('Ġsw', 'B-NNP'), ('ipe', 'B-NNP'), ('Ġkanan', 'B-NNO'), ('Ġhalaman', 'B-NNO'), ('Ġcocok', 'B-NNO'), ('Ġhilang', 'B-VBI'), ('Ġniat', 'B-NNO'), ('Ġkenal', 'B-NNO'), ('Ġorang', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġsih', 'B-ADV'), ('Ġhabis', 'B-ADV'), ('Ġrekomendasi', 'B-NNO'), ('Ġasli', 'B-NNO'), ('Ġtolong', 'B-NNP'), ('Ġbaru', 'B-NNP'), ('Ġkeluar', 'B-VBI'), ('Ġduit', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġdi', 'B-PPO'), ('Ġoptimal', 'B-NNP')]", kanan halaman cocok hilang niat kenal orang rekomendasi asli keluar duit,0.0189773719757795,0.9296605587005616,0.0109732337296009,0.0,0.0,0.0,0.0,0.0,0.0,1,akun; orang; hapus; cewek; login; kenal; pesan; ketemu; uang; cocok,68.23002,0.691963,16.21208,-89.32063,-59.548744,-38.29236,-26.2816,-21.168875,negative,0.9986718893051147
tolong min eror tidak bisa masuk alih halaman facebook trusgabisa masuk,4,2023-10-17 12:21:35,bumble,"[('Ġtolong', 'B-NNP'), ('Ġmin', 'B-NNP'), ('Ġeror', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġmasuk', 'B-VBI'), ('Ġalih', 'B-NNO'), ('Ġhalaman', 'B-NNO'), ('Ġfacebook', 'B-NNP'), ('Ġtrus', 'B-NNP'), ('ga', 'B-NNP'), ('bisa', 'B-NNP'), ('Ġmasuk', 'B-VBI')]", eror masuk alih halaman masuk,0.8693104386329651,0.0278791040182113,0.0219952519983053,0.0183013752102851,0.0156716164201498,0.0137121612206101,0.0121883451938629,0.0109694581478834,0.0,0,aplikasi; bayar; coba; masuk; kasih; buka; batas; pakai; teman; jodoh,81.20732,21.583584,-0.8451443,-76.64154,-2.756262,-72.20057,26.139853,-48.28425,neutral,0.6255799531936646
min upgrade premium metode bayar nya tidak bisa mana ya mesti upgrade premium,2,2023-09-03 19:20:19,bumble,"[('Ġmin', 'B-NNO'), ('Ġupgrade', 'B-NNP'), ('Ġpremium', 'B-NNO'), ('Ġmetode', 'B-NNO'), ('Ġbayar', 'B-VBI'), ('Ġnya', 'B-ART'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġmana', 'B-PRI'), ('Ġya', 'B-PAR'), ('Ġmesti', 'B-ADV'), ('Ġupgrade', 'B-NNO'), ('Ġpremium', 'B-NNO')]", min premium metode bayar upgrade premium,0.5312778353691101,0.0236161556094884,0.3758563995361328,0.0156730394810438,0.0134309595450758,0.0117518296465277,0.010445904918015,0.0,0.0,0,aplikasi; bayar; coba; masuk; kasih; buka; batas; pakai; teman; jodoh,-38.65124,19.286037,-49.719296,-28.934313,18.439135,-31.205866,2.6455374,-5.168034,negative,0.6674913167953491
gila gue main bumble tidak dapat match kayak nya bumble kalo matcht langgan vip match nya kalo kagak mah iya tidak harap dah match pasang aplikasi tidak harap dah kalo tidak langgan vip auto uninstall dah kalo aplikasi kalang tengah doang,1,2023-09-08 15:38:50,bumble,"[('Ġgila', 'B-NNO'), ('Ġgue', 'B-NNP'), ('Ġmain', 'B-VBI'), ('Ġb', 'B-NNP'), ('umble', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġdapat', 'B-ADV'), ('Ġmatch', 'B-NNO'), ('Ġkayak', 'B-NNO'), ('Ġnya', 'B-ART'), ('Ġb', 'B-NNP'), ('umble', 'B-NNP'), ('Ġkalo', 'B-CSN'), ('Ġmatch', 'B-NNP'), ('t', 'B-NNO'), ('Ġl', 'B-NNP'), ('anggan', 'B-NNO'), ('Ġvip', 'B-NNP'), ('Ġmatch', 'B-NNP'), ('Ġnya', 'B-ART'), ('Ġkalo', 'B-CSN'), ('Ġkagak', 'B-NNP'), ('Ġmah', 'B-NNO'), ('Ġiya', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġharap', 'B-NNO'), ('Ġdah', 'B-ADK'), ('Ġmatch', 'B-NNP'), ('Ġpasang', 'B-NNO'), ('Ġaplikasi', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġharap', 'B-NNO'), ('Ġdah', 'B-ADK'), ('Ġkalo', 'B-CSN'), ('Ġtidak', 'B-NEG'), ('Ġl', 'B-NNP'), ('anggan', 'B-NNO'), ('Ġvip', 'B-NNP'), ('Ġauto', 'B-NNP'), ('Ġuninstall', 'B-NNP'), ('Ġdah', 'B-NNP'), ('Ġkalo', 'B-CSN'), ('Ġaplikasi', 'B-NNO'), ('Ġkal', 'B-NNP'), ('ang', 'B-NNP'), ('Ġtengah', 'B-NNP'), ('Ġdoang', 'B-NNO')]", gila main match kayaktanggan mah harap pasang aplikasi harapanggan aplikasi doang,0.9347798824310304,0.0138315446674823,0.0109857423231005,0.0,0.0,0.0,0.0,0.0,0.0,0,aplikasi; bayar; coba; masuk; kasih; buka; batas; pakai; teman; jodoh,83.21404,-33.47722,-44.476135,-89.711395,-36.494514,-75.92102,27.605255,-51.385674,negative,0.9983087778091432
aplikasi tidak jelas masak login ulang tidak bisa bikin app minimal sistem support,1,2023-09-25 18:59:36,bumble,"[('Ġaplikasi', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġjelas', 'B-ADJ'), ('Ġmasak', 'B-ADV'), ('Ġlogin', 'B-NNP'), ('Ġulang', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġbikin', 'B-VBT'), ('Ġapp', 'B-NNO'), ('Ġminimal', 'B-ADJ'), ('Ġsistem', 'B-NNO'), ('Ġsupport', 'B-NNO')]", aplikasi ulang bikin app sistem support,0.8881317973136902,0.0237900391221046,0.0188228860497474,0.0156745314598083,0.0134349623695015,0.0117518240585923,0.0104460185393691,0.0,0.0,0,aplikasi; bayar; coba; masuk; kasih; buka; batas; pakai; teman; jodoh,-11.875633,36.195915,86.91601,-24.626905,-22.915394,-72.129166,26.671307,-49.530495,neutral,0.5944466590881348
lelet banget pakai bahas inggris,1,2023-11-08 19:39:44,bumble,"[('Ġlelet', 'B-NNP'), ('Ġbanget', 'B-NNP'), ('Ġpakai', 'B-VBI'), ('Ġbahas', 'B-NNP'), ('Ġinggris', 'B-NNP')]", pakai,0.6095922589302063,0.0822746008634567,0.0657972693443298,0.0548596829175949,0.0469969063997268,0.0411219894886016,0.0365528650581836,0.0328975692391395,0.0299068838357925,0,aplikasi; bayar; coba; masuk; kasih; buka; batas; pakai; teman; jodoh,-61.165573,80.43195,39.488197,-98.883514,-77.69404,3.0960414,2.989242,2.418738,negative,0.9957540035247804
koneksi lot aplikasi tidak jelas loading banget,1,2023-09-23 21:02:09,bumble,"[('Ġkoneksi', 'B-NNO'), ('Ġlot', 'B-NNO'), ('Ġaplikasi', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġjelas', 'B-ADJ'), ('Ġloading', 'B-NNO'), ('Ġbanget', 'B-ADV')]", koneksi lot aplikasi loading,0.8437886238098145,0.0329470448195934,0.0263314936310052,0.0219359043985605,0.0188004747033119,0.016450272873044,0.0146223539486527,0.0131601020693779,0.0119637250900268,0,aplikasi; bayar; coba; masuk; kasih; buka; batas; pakai; teman; jodoh,55.1023,-49.538704,91.44792,-3.9221537,61.314194,-20.823452,24.719038,-46.03426,negative,0.9991196990013124
tolong kali match langsung hilang error showing matchesnya tolong baik,2,2023-10-02 15:29:18,bumble,"[('Ġtolong', 'B-NNP'), ('Ġkali', 'B-NNO'), ('Ġmatch', 'B-NNP'), ('Ġlangsung', 'B-ADV'), ('Ġhilang', 'B-NNO'), ('Ġerror', 'B-NNP'), ('Ġshow', 'B-NNP'), ('ing', 'B-NNP'), ('Ġmatch', 'B-NNP'), ('esnya', 'B-NNP'), ('Ġtolong', 'B-NNP'), ('Ġbaik', 'B-NNP')]", kali hilang,0.0755169987678527,0.4085288941860199,0.0438881702721118,0.0365550331771373,0.3418560028076172,0.0274152811616659,0.0243691001087427,0.0219321772456169,0.0199383404105901,1,akun; orang; hapus; cewek; login; kenal; pesan; ketemu; uang; cocok,-47.397163,0.71733904,10.6353855,20.42035,-24.572847,6.6861334,-12.448457,28.332228,neutral,0.728767454624176
apasih verifikasi foto gagal mulu foto gue muka gue tidak bisa kalo tidak bisa verifikasi balikin beranda tahan mulu verifikasi foto,1,2023-09-02 07:40:53,bumble,"[('Ġap', 'B-NNP'), ('asih', 'B-NNP'), ('Ġverifikasi', 'B-NNO'), ('Ġfoto', 'B-NNO'), ('Ġgagal', 'B-NNO'), ('Ġmulu', 'B-NNP'), ('Ġfoto', 'B-NNO'), ('Ġgue', 'B-NNP'), ('Ġmuka', 'B-NNO'), ('Ġgue', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġkalo', 'B-CSN'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġverifikasi', 'B-NNO'), ('Ġbalik', 'B-NNP'), ('in', 'B-NNP'), ('Ġberanda', 'B-NNO'), ('Ġtahan', 'B-NNO'), ('Ġmulu', 'B-NNP'), ('Ġverifikasi', 'B-NNO'), ('Ġfoto', 'B-NNO')]", verifikasi foto gagal foto muka verifikasi beranda tahan verifikasi foto,0.0200000908225774,0.0149732278659939,0.0119685940444469,0.0,0.0,0.0,0.0,0.0,0.9144378900527954,8,verifikasi; foto; manusia; wajah; profil; kunci; palsu; gagal; asli; filter,-33.663803,12.678966,-39.57339,-14.272162,0.6723818,-8.547639,-12.087534,14.65075,negative,0.997937560081482
akun block pas bangun tidak rasa langgar mohon bantu nya email jugamohon respon nya,1,2023-10-10 08:12:25,bumble,"[('Ġakun', 'B-NNO'), ('Ġblock', 'B-NNO'), ('Ġpas', 'B-NNO'), ('Ġbangun', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġrasa', 'B-NNO'), ('Ġl', 'B-NNO'), ('anggar', 'B-NNO'), ('Ġmohon', 'B-NNO'), ('Ġbantu', 'B-NNO'), ('Ġnya', 'B-PRK'), ('Ġemail', 'B-NNO'), ('Ġju', 'B-NNP'), ('gam', 'B-NNP'), ('ohon', 'B-NNP'), ('Ġrespon', 'B-NNO'), ('Ġnya', 'B-PRK')]", akun block pas bangun rasa langgar mohon bantu email respon,0.0210043229162693,0.9229587912559508,0.011972589418292,0.0,0.0,0.0,0.0,0.0,0.0,1,akun; orang; hapus; cewek; login; kenal; pesan; ketemu; uang; cocok,67.97653,0.87514275,16.423742,-89.174706,-59.432144,-38.24106,-26.265514,-21.129051,neutral,0.9751790165901184
aplikasi macet kali uninstallinstall,2,2023-09-27 15:36:35,bumble,"[('Ġaplikasi', 'B-NNO'), ('Ġmacet', 'B-NNP'), ('Ġkali', 'B-NNO'), ('Ġun', 'B-NNP'), ('instal', 'B-NNP'), ('lin', 'B-NNP'), ('stall', 'B-NNP')]", aplikasi kali,0.7396733164787292,0.0549079254269599,0.0438671298325061,0.0365537032485008,0.0313444696366786,0.0274148322641849,0.0243687238544225,0.0219318475574255,0.0199380405247211,0,aplikasi; bayar; coba; masuk; kasih; buka; batas; pakai; teman; jodoh,-5.2613463,90.96496,-50.51562,50.227695,45.87591,41.326443,22.271584,-16.449997,negative,0.9807931184768676
bayar premium tidak di aplikasi tidak premium,2,2023-09-10 08:13:14,bumble,"[('Ġbayar', 'B-VBI'), ('Ġpremium', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġdi', 'B-PPO'), ('Ġaplikasi', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġpremium', 'B-NNO')]", bayar premium aplikasi premium,0.8437935709953308,0.0329495146870613,0.0263328962028026,0.0219325460493564,0.0187989640980958,0.0164490807801485,0.0146213276311755,0.0131591912358999,0.0119628990069031,0,aplikasi; bayar; coba; masuk; kasih; buka; batas; pakai; teman; jodoh,55.68605,-49.525593,91.38431,-4.00607,61.27507,-20.878485,24.674171,-46.025543,neutral,0.8568369150161743
tidak bisa verifikasi login masuk halaman retake photo hubung contact support tidak ada response balikin uang rugi bandar,1,2023-07-23 22:04:51,bumble,"[('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġverifikasi', 'B-NNO'), ('Ġlogin', 'B-NNP'), ('Ġmasuk', 'B-VBI'), ('Ġhalaman', 'B-NNO'), ('Ġretak', 'B-NNP'), ('e', 'B-NNP'), ('Ġphoto', 'B-NNP'), ('Ġhubung', 'B-NNP'), ('Ġcontact', 'B-NNP'), ('Ġsupport', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġada', 'B-VBE'), ('Ġrespons', 'B-NNP'), ('e', 'B-NNP'), ('Ġbalik', 'B-NNP'), ('in', 'B-NNP'), ('Ġuang', 'B-NNO'), ('Ġrugi', 'B-NNO'), ('Ġbandar', 'B-NNO')]", verifikasi masuk halaman uang rugi bandar,0.2312362641096115,0.5177090764045715,0.0188208147883415,0.0156767051666975,0.0134301884099841,0.0117511535063385,0.010445368476212,0.0,0.171529620885849,1,akun; orang; hapus; cewek; login; kenal; pesan; ketemu; uang; cocok,32.782745,21.755215,-5.6982865,37.695778,-18.279926,-18.651806,-17.899378,-13.031719,negative,0.998469889163971
bayar premium tidak bisa pakai,1,2023-09-19 14:08:43,bumble,"[('Ġbayar', 'B-VBI'), ('Ġpremium', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġpakai', 'B-VBI')]", bayar premium pakai,0.804760217666626,0.041170198470354,0.0329103581607341,0.0274202823638916,0.0234986152499914,0.020561235025525,0.018276585265994,0.0164489224553108,0.0149535639211535,0,aplikasi; bayar; coba; masuk; kasih; buka; batas; pakai; teman; jodoh,-51.533722,5.695171,80.5816,21.60267,60.662975,8.003423,19.06132,-37.34911,negative,0.8947193026542664
