content,dominant_topic,label,score,at,app,topic_percentage,value
tidak bisa daftar daftar pakai nomor kode verifikasi tidak masuk,3,neutral,1,2023-11-23 01:44:24,tinder,0.731,0.994
daftar kena blokir akun asli tidak fake aplikasi nya pepek,4,neutral,1,2023-11-11 09:27:03,tinder,0.595,0.993
kecewa banget akun muncul tulis akun cekal langgar tidak rasa salah apa,0,negative,1,2023-09-27 19:30:39,tinder,0.597,0.999
aplikasi sih main swipe kanan muncul muncul tidak ada match,0,neutral,1,2023-09-29 04:19:50,tinder,0.732,0.537
tidak bisa hapus akun hapus akun gagal tidak ada masuk pilih like dislike muncul pilih tolong hak hapus akun,3,neutral,2,2023-10-29 21:30:16,tinder,0.445,0.999
ditingkatin kalo apkny telfonan jarak nya akurat,1,positive,5,2023-10-26 18:55:59,tinder,0.6,0.636
akun tidak tampil foto wajah foto asli milik akun tolong tinder baik,2,neutral,4,2023-11-01 14:21:14,tinder,0.595,0.996
aplikasi tolol tidak jelassering banget logout sndripas log susah masuk nya,3,negative,1,2023-11-02 18:27:55,tinder,0.6,0.999
aplikasi nya banget bikin aplikasi tidak jelas tidak bisa bikin aplikasi,0,negative,1,2023-10-07 20:41:26,tinder,0.733,0.999
tidak bisa masuk fb no hp kode tidak ada masuk kali download,3,neutral,2,2023-09-26 15:12:11,tinder,0.733,0.995
tidak buka aplikasi buka cekal hedeh ya nih aplikasi pakai foto tidak bio sesuai,1,negative,1,2023-09-22 12:42:18,tinder,0.796,0.978
ya tidak laku langgar tibatiba akun tulis nya cekal aneh fine fine pakai tinder kesini tidak suka nya kesel pakai tinder loh blokir tidak lalu langgar ulang kecewa banget sih tinder,1,negative,1,2023-07-29 10:05:11,tinder,0.549,1.0
aplikasi kontl banget pakai apk eh tidak bisa masukdi ulang tidak bisa masuk cekat logo,3,negative,1,2023-06-30 21:06:49,tinder,0.731,0.996
tidak bisa chat lihat suka ya member plus tolong jelas,2,negative,4,2023-09-26 00:55:08,tinder,0.599,0.961
akun banned masuk tidak bisa ads verifikasi tidak robot salah pilih tidak benar nih aplikasi gilir orang gunain aplikasi banned nipu lolos tidak guna nih aplikasi,3,negative,1,2023-08-08 22:11:51,tinder,0.731,0.998
suka aneh jarak setting jelasjelas setting tampil jauhjauh tres,0,negative,1,2023-07-23 11:09:01,tinder,0.48,0.999
gambar verifikasi minimal bagus biar gambar tidak jls pakai verifikasi,1,neutral,1,2023-10-14 02:09:27,tinder,0.595,0.982
jellekkkkkkkkkkkk tidak bisa masuk nebak gambar tidak pernah gambar hadap arah tidak tau awak,3,negative,1,2023-09-28 20:03:49,tinder,0.6,0.999
aplikasi tidak bisa buka lambat,4,negative,1,2023-11-18 22:41:06,tinder,0.597,0.966
ya akun pilih orang match orang itu mulu diswipe kanan muncul ngebug banget nih aplikasi keluar masuk akun aneh banget,2,negative,1,2023-08-23 22:20:03,tinder,0.489,0.999
page messege tidak bisa refresh scroll down menganggu app teknologi user biasa merefresh chat guna sinyal hp lemah merefresh page messege sinyal baik,0,neutral,4,2020-07-04 00:47:30,tinder,0.588,0.846
masuk susah tekateki kayak sampah tidak mungkin binatang main,3,negative,1,2023-10-05 11:53:21,tinder,0.6,0.999
tidak bisa login akun cekal tidak pernah aneh daftat pakai email nomor tidak bisa aneh,1,neutral,1,2023-11-03 11:15:38,tinder,0.595,0.867
fiturnya bayar mahal banyak fitur gratis orang aplikasi guna fitur gratis buka tinder guna gratis fitur guna ubah lokasi daerah bayar mahal tolong fitur gratis guna,2,neutral,2,2023-10-12 20:56:01,tinder,0.573,0.732
nih aplikasi tidak guna sumpah pakai aman tidak bisa masuk coba tidak bisa,3,negative,1,2023-07-11 02:08:58,tinder,0.579,0.993
bagusdan bagus kalo atur hapus chat tidak harus hapus apk tidak berat pakai,1,positive,5,2023-08-05 09:56:42,tinder,0.595,0.998
login verifikasi ribet suruh nebak gambar hadap tidak jelas maksud mohon maaf ratingnya ganti,1,negative,2,2023-09-02 19:34:53,tinder,0.442,0.999
dasar akun cekal tidak rasa buat salah tinder coba kasih bukti tidak asal cekal nb tidak main tinder tidak ada rugi,3,negative,1,2023-11-03 03:51:50,tinder,0.32,0.853
tidak bisa masuk eror,3,negative,1,2023-11-17 11:22:16,tinder,0.6,0.884
tolong upgrade ya masuk susah dowload bolak nya nomor tidak dpet kode verifikasi,3,neutral,1,2023-11-28 06:42:48,tinder,0.6,0.533
aplikasi jelek tibatiba verifikasi tebak gambar tidak jelas ujungujung nya error masuk,3,negative,1,2023-07-04 12:05:45,tinder,0.6,0.999
apk nya tidak mutu match tidak muncul list teman chat tidak ada,0,negative,1,2023-07-09 00:05:41,tinder,0.597,0.999
tinder aneh gua download yaudah gua bikin akun pas gua bikian akun salah coba ydh gua bikin pakai akun gua eh blokir tolong tinder gua download tidak gua cobaain kalo kayak bikin orang kesal,0,negative,1,2023-09-12 05:03:26,tinder,0.706,0.999
tidak bisa masuk jelek aplikasi nya,3,positive,1,2023-09-21 13:21:56,tinder,0.6,0.713
kecewa aplikasi inipadahal kena potong biaya langgan tanggal juli batal langgan juli uang tidak balikpaket gold hanggusdikomplain tidak ada balasansedot uang konsumen,4,negative,5,2023-10-28 07:19:23,tinder,0.73,0.999
swipe unlimited tidak jodoh unlimited nih apk kacau,2,negative,1,2023-10-14 08:13:18,tinder,0.599,0.999
susah banget,2,negative,3,2023-10-19 18:39:36,tinder,0.599,0.997
tidak bisa kirim pesan chat verifikasi,1,negative,1,2023-09-24 08:40:13,tinder,0.599,0.872
bagustapi batas guna tidak berbayarseharusnya fitur booster super dibatasijika orang suka batas tidak bisa chat lunas pembayaranlantas guna aplikasi guna gratispadahal bayar tidak tentu jodoh,0,negative,5,2019-07-28 20:45:27,tinder,0.4,0.947
tibatiba chat orang hilang,0,negative,1,2023-11-18 18:45:43,tinder,0.6,0.995
aplikasi aneh bikin kantor pas jelang pulang rumah notifikasi cekal komplitin profil tidak sempat memang kapai cekal uninstall,0,negative,1,2023-11-23 17:44:24,tinder,0.733,0.89
langgan fitur kunci bayar match tidak balas chat akun betul robot tidak bayar jamin capek swipe kanan kiri hasil,2,negative,1,2022-05-16 20:34:47,tinder,0.732,0.983
maaf masuk aplikasi motivasi pakai aplikasi apabanyak tidak serius usaha tipu imingiming tabung cuman have fun manipulasi cari teman tidak kontak jodoh nama,3,negative,1,2023-06-25 00:07:26,tinder,0.634,0.998
aplikasi tahi masuk tebak ribetgg,3,negative,1,2023-10-16 21:00:22,tinder,0.6,0.998
verikasi ya susah angka tebakudh tidak bisa masukkata ya gangguanpdhal login semuadata gue ambil peyalur apk ningk bagus,1,negative,1,2023-07-07 19:27:06,tinder,0.596,0.91
tinder govlok iya eror login pakai no tidak bisa lihat ratingnya ngeluh logout tiba capek tau teman maless bett deh nih apk,2,negative,1,2023-07-18 07:20:31,tinder,0.538,0.999
login ribet ampun verifikasi pakai gambar hewan hadap atas simpel kalo verikasi,1,negative,1,2023-08-24 00:18:53,tinder,0.595,0.971
tidak yang kali kali akun log out gilir verifikasi tombol nge bug,2,neutral,3,2023-06-25 07:19:40,tinder,0.728,0.996
download tinder kunci tidak bisa buka bikin langgar parah banget aplikasi aneh buruk,0,negative,1,2023-06-27 18:59:12,tinder,0.599,0.999
login kode otp tidak masuk login web klik tidak bisa beli code voucher,3,neutral,1,2023-07-28 19:23:15,tinder,0.6,0.999
susah verifikasi selesai verifikasi tidak dapat klik,3,neutral,4,2023-07-15 17:48:38,tinder,0.6,0.983
aplikasi tidak masuk akalbelum cuman pakai akun blokir,3,negative,1,2023-07-26 22:49:11,tinder,0.731,0.999
tidak bisa gue buka apa sruh coba mulu jaring gue stabil ege,0,negative,2,2023-07-27 20:07:12,tinder,0.402,0.84
bilang aplikasi jelek tidak percaya aplikasi percaya banget gue teman,0,negative,5,2023-10-15 00:51:25,tinder,0.543,0.995
tinder gampang banget loginnya versi baru login susah banget kode loginnya kirim via sms tidak dikirimkirim login kode loginnya langsung kirim via sms guna tinder kecewa versi tolong baik ya,4,negative,3,2020-10-02 07:32:33,tinder,0.594,0.998
apk jelek bngat tidak bisa masuk vervikasi manusia cobaberkali tidak bisa,3,negative,1,2023-06-26 23:10:17,tinder,0.6,0.999
bayar tinder gold depan harga turun langgan notifikasi tanya tidak tahu langgan pulsa jadi kurang tuju,3,neutral,4,2020-03-14 06:38:03,tinder,0.733,0.995
bagus sih aplikasi tinder fiturnya mahal biaya suka kirim pesan turun harga murah syukur syukur gratis aplikasi tinder bayar mudah dompet digital dana ovo gopay tidak punya tabung bank konvensional lokasi banyak teman jodoh terima kasih,2,positive,4,2023-02-16 19:05:07,tinder,0.795,0.998
bodoh publikpas tidak pakai fitur premium suka banget gilir beli mahal fitur premium swipe kanan nya tidak ada tidak bakal pkok nya keluar duit fitur premium tidak jelas,2,negative,1,2023-10-20 12:45:55,tinder,0.559,0.999
gratis layan maksimal kali ya like profile pemberitahuan matching nya kali kadarluarsa pemberitahuan pesan tidak adajika tidak sering login expired matching balas kali no contact saran tinder bayar jangkau bulan nya keluar anak kost kuliah terima kasih,2,neutral,2,2019-01-03 16:21:42,tinder,0.599,0.986
pakai premium tidak akan tidak ada beda,1,negative,1,2023-08-09 21:03:42,tinder,0.595,0.54
lag ketik dichat sinyal berat banget aplikasi gue pakai indihome mbps match susah lihat suka serba bayar batas likenya,2,negative,1,2020-08-10 19:43:23,tinder,0.636,0.999
aplikasi bobrok masuk tidak bisa,3,negative,1,2023-09-13 08:25:22,tinder,0.6,0.997
apk deh puzzle nya salah melulu bikin bingung malas pakai nya,0,negative,1,2023-07-04 11:27:43,tinder,0.599,0.999
tidak bisa buka update parah nih aplikasi abalabal,4,negative,1,2023-07-10 06:51:04,tinder,0.597,0.999
kagak banget akun gue ban bikin ulang kagak nyangkut akun beda email,0,negative,1,2023-08-03 00:10:48,tinder,0.599,0.964
enak obrol tibatiba aplikasi tidak bisa buka greget banget,4,negative,1,2023-07-16 22:08:49,tinder,0.597,0.894
tidak instal apk bangsaaaat langgan tidak tau cekal pakai apk hebat ya habis makan duit orang cekal aplikasi penipuuu lapor kirim,1,negative,1,2023-08-07 10:50:01,tinder,0.595,0.999
pas ngedaftar suruh pose gue ganti pose habis akun gue tiba dicekalblock tinder alas mlanggar atur kasar tidak sempat main tinder gara tidak niruin gaya pose poseny jongkok gigit bibir bngst banget ajggglah aplikasi tololl,3,negative,1,2023-09-12 17:37:20,tinder,0.726,0.999
pulsa tidak bisa bayar gabung member gold aduh,2,neutral,2,2023-06-25 22:10:33,tinder,0.598,0.978
tinder jelek banget login sih kali klik tombol like muncul kalimat minta jaring gagal sila coba bulan sinyal bagus aplikasi jalan aneh banget tinder tidak kayak,0,negative,1,2018-12-14 09:39:09,tinder,0.527,0.999
terverivikasi aktif fitur chat akun terverivikasi tidak bisa chat nya tidak verifikasi verifikasi nge chat tidak bisa balas chat mohon bantu ya,4,neutral,4,2023-10-20 16:58:46,tinder,0.599,0.632
aplikasi jelekga jelasknp sch bayarchat tidak bisa lihat like tidak bisamatre loduit mulu otak lo,2,negative,1,2023-08-30 14:19:08,tinder,0.599,1.0
tinderapp peniputidak apaapp cekal salah dimanatiba tidak bisa loginsemoga app hack usaha,1,negative,1,2023-07-29 10:06:24,tinder,0.59,0.993
siang eror fitur nama feed bingung coba baru baru fitur feed nya hilang fitur chat notif pesan tidak baca cari tidak ada pesan tidak baca hilang jodoh intens chattingan tidak sempat tukar medsos nomor,0,negative,2,2021-03-19 13:39:35,tinder,0.885,0.981
upgrade platinum cekal tidak bisa login suspend developer tidak ada ruang lapor developer baca tentu alas bill tagih langgan jalan keluar solusi hati hati nih aplikasi,2,neutral,1,2023-06-19 08:32:11,tinder,0.733,0.985
guna tinder platinum tidak bulan akun tiba kena cekal tidak bisa akses tinder tidak pernah salah betul rugi tolong tinder evaluasi cross check,0,negative,1,2023-08-30 20:58:17,tinder,0.402,0.545
kemarin coba install niat cari teman koneksi suka profil orang batas ya kalo suka batas bayar konsep match kalo tidak bisa suka kalo batas terang klik suka kali ganti tidak recommended kaum dang mending,0,negative,3,2023-06-16 08:41:47,tinder,0.6,0.998
banget sih apk tinder sekarangtahun off tidak main tinder bulan eh main akun cekal tidak laku langgar apapundan cpba verifikasi wajah tidak ada tombol untum konfirmasi cacat banget nih tinder seriouslydan coba ganti akun nomor kali tidak begitu langsung dicekallltolong cepat baik mrka yng nyaman tinder alih apk lainterimakasih,3,negative,1,2023-06-26 22:04:13,tinder,0.733,0.999
akun cekal tidak kapai kecewa beli paket gold eh menit langsung cekal hilang siasia duit anjir tolong dikembaliin sumpah tidak rasa langgar atur apa,3,negative,1,2023-06-22 23:02:51,tinder,0.341,0.991
tolong tidak bisa verifikasi kamera on tidak ada tampak tampang oval nya apk serba bayar chat tidak bisa match ngelike tidak bisa kudu bayar,2,negative,1,2023-06-12 13:43:30,tinder,0.4,0.936
tidak ada uji coba gratis minimal tidak kayak app kasih uji coba uji coba give premium populer uji coba tidak ada samsek tau kalo fitur bayar swipe tidak bisa kirim pesan,0,negative,2,2023-06-20 10:12:06,tinder,0.706,0.727
download aplikasi tinder bingung tidak bisa balas pesan kpda match etik hurup keyboard nya tidak muncul tekan ulang balas pakai gif hurup muncul etik muncul gif etik ubah bio coba uninstal download tidak bisa,0,neutral,3,2021-05-16 05:53:32,tinder,0.45,0.898
hati aplikasi bahaya susah henti langgan klik henti langgan debit bayar tidak promo ribu ngikut langgan promo ribu pas habis henti aplikasi dikirain henti tau debit kartu kredit playstore tidak ke detek langgan aplikasi sungguh susah cek email pakai hp langgan playstore tidak ke detek tindernya,1,negative,1,2022-08-22 20:35:09,tinder,0.59,0.998
tidak suka banget deh nih malemnya akun ee pagi tidak bisa masuk langgar atur tidak ngapangapainngechat tidak dan akun cekal tinder tidak bisa akun masa maksud aplikasi tidak aman retas sumpah ganggu bangetburuk banget pokok kasih reting bintang deh tidak ada jelas siballl pokok rusak mood orang,3,negative,1,2023-07-21 07:38:23,tinder,0.414,0.999
bayar lihat profil message baysr bayar aplikasi tidak logis balas chat bayar lihat suka bayar tidak masuk akal app,2,negative,1,2023-07-08 20:43:01,tinder,0.592,0.999
akun cekal sih bikin tidak bisa masuk tinder masak bikin cekal salah paham tidak sudah cekal,0,negative,1,2023-07-11 15:33:48,tinder,0.556,0.997
susah sebel senang,2,negative,5,2023-11-21 17:50:24,tinder,0.733,0.728
tinder tidak bisa buka ya ingat foto verifikasi tibatiba tidak bisa buka blok tinder,0,neutral,1,2023-07-16 20:06:57,tinder,0.598,0.992
overload nih apk akun masuk susah kgk tinggal verifikasi by no email muter kgk anying,3,neutral,1,2023-10-10 02:00:56,tinder,0.6,0.916
pakai tinder tidak ada error tidak bisa orang tidak bisa terima pesan logout login kode verifikasi tidak pernah masuk login via email ganti nomer hp tinder verified gold,3,neutral,1,2020-07-28 18:26:32,tinder,0.731,0.998
akun cekal undah verif kali tidak bisa buka verif foto tidak bisa sih guna bikin malas,0,negative,1,2023-06-20 18:14:56,tinder,0.599,0.984
tidak usah download apk paok bodoh donwload dsuruh bayar tidak usah kelen download pindah,2,negative,1,2023-11-12 14:12:46,tinder,0.598,0.999
apk tolol download login tidak bisa masuk,3,neutral,1,2023-11-22 00:45:51,tinder,0.6,0.997
terimakasih membanned akun vip gold agustus mohon kembali uang transaksi masuk akun tinder tanggal agustus agustus agustus mohon kembali transaksi kecuali tinder rampok uang membanned pasang photo kitten pelihara verifikasi photo live teman milik minat,3,neutral,1,2023-08-06 14:51:27,tinder,0.733,0.999
aplikasi tibatiba etik isi biodata lihatlihat foto ulang mana masuk tidak sampai aplikasi buka,3,neutral,1,2022-09-03 09:38:38,tinder,0.6,0.997
aplikasi tinder tidak bisa buka terus tunggu tidak buka aplikasi logo api tinder memggunakan data seluler tidak bisa telah wifi tidak buka logo api tinder restart ponsel hapus aplikasi dwonload tidak kerja aplikasi,4,neutral,1,2022-12-11 20:26:44,tinder,0.839,0.819
akhir ngelag sih dikit aplikasi tiba baru aplikasi rutin otomatis baru bayar jalan balas tiba heng aplikasi log out uninstal kali hang lag aplikasi sih kalo tidak recomended orang kecewa aplikasi pakai aplikasi dating tidak begini bad kecewa rugi iya,0,negative,1,2020-07-29 00:22:43,tinder,0.6,0.999
kemarin tidak bisa log sihsms verifikasi tidak ada kirim pasuk nomor beda pulih akun tidak bisa kirim sms nya ganti provider tidak bisa kirim sms nya tolong solusi gimanaaa,1,negative,1,2021-01-11 17:45:35,tinder,0.599,0.583
dear developer harga rang sesuai budget ratarata orang indonesia nilai mata uang beda as contoh orang suka bayar dolar bulan negara dolar tidak hanya angka angka ribu rupiah saran tidak berat guna mohon responnya ya,2,neutral,4,2021-06-04 08:03:18,tinder,0.393,0.936
tahap daftar bikin kecewa bugnya kode verifikasi gagal jam coba refresh gagal nomor tidak bisa klik lanjut pilih gender androidweb,0,negative,1,2021-07-17 16:49:59,tinder,0.839,0.719
instal verifikasi akun tidak bisa masuk salah suruh coba tidak bisa masuk baik tinder ngabisin mbak banget tidak bisa masuk pliss baik hapus takut kuota aing mubazir toloooong pliiis ceepaaat perbaikinnnnnnnn,3,negative,1,2022-10-29 08:42:53,tinder,0.681,0.81
aplikasi tidak jelas tidak mutu tidak ada pemberitahuan langsung blokir kecewa akun tidak balik langgan akun kena cekal jarang buka sekali buka kena cekal duh aneh aplikasi tidak jelas,4,negative,1,2023-03-12 05:50:12,tinder,0.73,0.999
kecewa dengar tinder tidak ya bintang main tinder tibatiba blokir beli gold aduh tidak lagi deh seleksi ketat tidak rugi orang puluh aju banding,3,negative,1,2022-02-18 00:58:41,tinder,0.733,0.998
profile foto model jepang korea eropa multi profile id beda id duplikat foto profile orang hasil search seringkali tidak sesuai preferensipermintaan diinput mohon hilang fake profile bot bayar tinder gold tindernplatinum tidak untuk tipu,1,neutral,2,2023-04-04 17:22:11,tinder,0.665,0.897
langgan pakai langsung error akun verify tidak bisa terima kirim pesan like tidak masuk tidak bisa apa in rugi banget kena an doang call center tidak ada email bantu susah dihubungin pokok kapok banget bestie tidak lagi deh,1,negative,1,2022-05-12 23:28:22,tinder,0.79,0.999
pintar nih instal tidak di uninstal kalo tidak bisa login signup coba laku proses tinder web laku proses masuk daftar kalo emailnomor register pas laku apknya kalo tidak bisa deh marah kayak kemarin kembang terima kasih apk bagus ku kasih bintang ya,3,positive,5,2021-03-10 15:18:55,tinder,0.414,0.772
download daftar kali buka blank hapus cache dll buka loading tidak respon ngeblank diuninstal tidak bisa mau,4,neutral,1,2019-05-05 13:55:52,tinder,0.597,0.961
halo tinder sungguh kecewa langgan tinder gold bayar berhasiltetapi tidak ada fitur tinder gold berfungsisaya harap selesai cepat nya bayar berlangganansaya kecewa,3,negative,1,2021-04-29 09:21:36,tinder,0.6,0.999
buruk aplikasi buka tidak bisa layar putih buka nyesal download nya bikin habis data,0,negative,1,2022-07-22 19:24:09,tinder,0.599,0.999
tinder kalo kasih minggu lihat like gratis telah bayar win win solution belah pandemi kasih rate appnya ya bagus kalo timbang masuk atas bintang bicara terima kasih,3,positive,3,2022-01-13 09:35:19,tinder,0.73,0.992
bagus sih hapeku kayak tidak bisa nangkep koneksi wifi ya buka tinder tidak tanggap kalo koneksi pakai download play store lo terimakasih,1,negative,2,2019-01-19 22:43:48,tinder,0.729,0.788
pliss sih tidak bisa buka apk jaring coba hari kga deh uninstall coba instal tidak bisa buka maaf kasih bintang kayak jadi,3,negative,1,2023-05-29 23:36:28,tinder,0.6,0.988
hello akun nya blok tidak bisa masuk versi tinder batas users batas tidak di tentu tidak coba logout kalo iya tidak bakal login tinder update baru tinder moga manfaat,3,neutral,5,2020-05-08 18:44:48,tinder,0.414,0.814
aplikasi bagus sayang superlikenya hitung mahal boosternya guna bayar tinder gold discount khusus laku khusus banget milik account tinder tidak aktif milik account sakit tinder gold tinder plus malas langgan temu teman kencan asyik bayar booster superlike rp rp rp tidak tentu kencan ingin,2,positive,3,2019-06-04 11:52:18,tinder,0.598,0.897
update tinder tinder aneh ya match tidak lihat pesan kirim terima match tidak sampai a tinder premium ya tidak suka tinder jelek bagus kecewa,0,negative,1,2019-01-05 06:52:42,tinder,0.349,0.999
main tinder tider bebas suka benar tes pribadi cocok pilih kategori cth tidak merorok badan orang sesuai kategori,1,negative,4,2022-04-19 07:34:42,tinder,0.597,0.612
nyaman maka app tidak detil info nya beda app harus serta isi data lengkap aprove member app tinder nama muncul lumayan jebak chat aku cari teman parah istri orang ha ha ha,0,negative,4,2021-04-04 13:23:41,tinder,0.597,0.992
kalo match tidak muncul kalo langsung muncul chat orang kalo suka tolong langsung tidak harus pakai beli paket harga ratus ribu juta lihat postingan doang diihhh tidak banget jaman duit tuh cari tidak untuk buang buang tidak penting orang tipu tipu dalam match tidak serius coba deh seleksi cowok tidak punya pasang thanks,0,negative,3,2022-04-06 05:06:14,tinder,0.525,0.998
buruk kecewa pindah bayar tidak ada like nya pancing tinder like beli premium jodoh saran nih tidak cobacoba pindah akun premium apa bohong tidak pernah bayar keluar peser aplikasi fix uninstall hati match tipu dalam nya,2,negative,1,2022-10-29 08:39:46,tinder,0.883,0.998
kecewa apk tinderdimana akun langsung cekal tidak langgar apa tinderdan tinder plusketika ganti lokasi cari jodoh akun langsung blokirtinder tidak kayak ya baharu tidak beri kenyamananrugi langgan tinder plus langsung cekalmohon sistem baik guna tinder tidak paling apk,4,negative,5,2022-12-24 01:02:33,tinder,0.637,0.999
buruk sekalitidak bagussya tidak salah apa akun cekalsudah ikut atur biar masuk akun syatpi tiba putih sajaudah uninstall install itutolong kembali akun tidak salah apa biar hapus data pribadipenyesalan install aplikasi adaberharap main tinder lgitpi inisya kecewa,0,negative,1,2022-09-30 20:50:25,tinder,0.401,0.999
developer tolong bayar tinder preminum kena banned tidak buat sih langgar kirim aneh omong kasar tidak asli kecewa tolong baik guna nyaman terimakasih,2,negative,3,2022-07-13 19:49:08,tinder,0.797,0.991
ya baik tidak bisa kirim pesan tidak bisa pilih teman match salah jaring kuota tidak juga jaring app masuk ngelag tidak bisa,3,negative,1,2020-07-02 01:46:26,tinder,0.6,0.886
mohon bantu admin aplikasi tindernya tidak pernah buka bulan tahun aplikasi tantan hapus download tidak mau buka layar putih tidak ada respon butuh hapus permanen akun tinder mohon solusi admin tahun mohon balas admin,4,neutral,1,2022-09-29 13:04:05,tinder,0.682,0.958
pakai apk coba bayar coba pakai no complain next otomatis langgan masalah nya bayar via pulsa min ya coba tidak isi pulsa utuh kali isi pulsa min ribu otomatis langsung potong akun nya hapus buka pakai email login akun pulsa potong hangus mubazir anjing,0,negative,1,2020-09-04 05:31:13,tinder,0.6,0.96
aplikasi pakai biaya keluh tanda suka and like habis tidak bisa lanjut bayar gambar diamontd kali pakai biaya itu biaya ya mahal an,3,negative,1,2018-12-20 06:46:03,tinder,0.797,0.999
bayar mahalmahal aplikasi error semalem lot terang salah pagi logout n tidak bisa masuk deh bom bintang sayang uang,3,negative,1,2020-11-18 07:12:30,tinder,0.73,0.999
lumayan cari jodoh moga apk tinder temu jodoh sholeh bertanggug terima kurang masing pasang nya apk tinder tidak bisa lihat suka sih lumayan hilang gabut,4,positive,4,2020-07-24 15:26:15,tinder,0.598,0.899
coba swipe night killer weekend eps tengah lgsng tidak bisa pas out app masuk coba tidak bisa tulis coba reinstall tidak bisa nih,0,negative,3,2021-11-30 18:57:07,tinder,0.64,0.574
download mohon perhati ya aplikasi nya bagus fitur dalam nya bayar kalo lihat foto orang suka bayar iya aplikasi gratis tidak bisa ngapa kapai gue daftar kemarin pagi eh sore nya blokir alesannya langgar tentu tentu coba gue habis ribu bberapa jam gue mah niat cari jodoh eh cari untung dalem untung,0,negative,1,2021-08-08 21:14:54,tinder,0.6,0.992
tinder error verifikasi main tinder banget pas buka aplikasinha akun login verifikasi manusia pas login jodoh hilang tidak ada match logout sih data login muncul jodoh chatnya tidak ada pesan match coba test jodoh tukeran kontak notifnya masuk pas klik pesan tidak ada hilang kenapaaa,0,negative,2,2021-04-28 22:44:22,tinder,0.634,0.971
pakai aplikasi bertahuntahun tidak pernah ngelag error lot crash blokir pakai upgrade gold habis tidak saya panjang tbtb akun blok,1,neutral,1,2020-09-29 14:20:59,tinder,0.73,0.649
tidak erti app kalo app nya tidak buka hari log out kalo log akun ulang upload foto n bio deh kali kayak pas log kali swipe kanan eh orang swipe muncul bilang koneksi data aktif,4,negative,1,2019-01-15 09:35:39,tinder,0.597,0.533
tinder pakai gratis banget ngelike interaksi gilir beli paket nya bayar tidak ada suka aneh hari bayar tidak ada satu suka kayak sengaja sistem tinder aplikasi tidak benar asih mudah guna cari temenpasangan aplikasi murni tuju nya cari untung banyak men setting smuanya hapus akun uninstall sesal,0,negative,1,2022-08-25 13:48:46,tinder,0.454,0.999
aplikasi adalahterlalu keluar uang tidak murahh kali kasih diskonsemua jadi harga tidak satu tidak sekali kali kasih gratis aplikasi freedownload dalam prabayar,3,negative,1,2018-12-03 18:13:54,tinder,0.486,0.991
